"title","wikibase_item","Distributor"
"مرد عنکبوتی: در میان دنیای عنکبوتی","Q76448600","distributor = [[گروه سینمایی سونی پیکچرز]] "
"عشق اجاره‌ای","Q20472611","distributor = | budget = "
"زیرخاکی (مجموعه تلویزیونی)","Q97206041","distributor = <!-- توزیع‌کننده --> "
"برابرساز ۲","Q41493467","distributor = [[سونی پیکچرز اینترتینمنت]] "
"مرد عنکبوتی: راهی به خانه نیست","Q68934496","distributor = [[گروه سینمایی سونی پیکچرز]] "
"انتقام (فیلم ۲۰۱۷)","Q39073132","distributor = Rézo Films "
"آلیس در سرزمین مرزی (مجموعه تلویزیونی)","Q103967305","distributor = [[نتفلیکس]] "
"شوالیه تاریکی (فیلم)","Q163872","distributor = برادران وارنر پیکچرز "
"درباره الی","Q1311890","distributor = [[فیلمیران]] {{سخ}}دریم‌لب فیلمز {{small"
"ایکس (فیلم ۲۰۲۲)","Q105605250","distributor = [[ای ۲۴]] "
"آواتار (فیلم ۲۰۰۹)","Q24871","distributor = فاکس قرن بیستم<ref name=afi/> "
"روانی آمریکایی (فیلم)","Q1405126","distributor = [[لاینزگیت فیلمز"
"پس از شادی بی‌پایان","Q105807115","distributor = [[ولتیج پیکچرز]] ([[ایالات متحده آمریکا"
"من پیش از تو (فیلم)","Q20735644","distributor = [[وارنر برادرز]] "
"یک فیلم صربستانی","Q300552","distributor = Jinga Films "
"هم‌گناه","Q85976308","distributor = [[نماوا]] و [[فیلیمو]] "
"ملکه قلب‌ها (فیلم ۲۰۱۹)","Q55766341","distributor = | released = {{film date"
"تلماسه (فیلم ۲۰۲۱)","Q60834962","distributor = [[برادران وارنر پیکچرز]] "
"ارباب حلقه‌ها: حلقه‌های قدرت","Q59149852","distributor = آمازون استودیوز "
"فهرست شیندلر","Q483941","distributor = یونیورسال پیکچرز "
"تاپ گان: ماوریک","Q31202708","distributor = [[پارامونت پیکچرز]] "
"گاندو (مجموعه تلویزیونی)","Q65196090","distributor = | channel = [[شبکه ۳]] "
"درخشش ابدی یک ذهن پاک","Q208269","distributor = [[فوکس فیچرز]] "
"روزی روزگاری مریخ","Q113171057","distributor = | country = [[ایران]] "
"بی‌شرم (مجموعه تلویزیونی آمریکایی)","Q23599","distributor = [[وارنر برادرز.تلویزیون]] "
"مانکن (مجموعه نمایش خانگی)","Q65194973","distributor = [[هابینا]]{{سخ}}[[تصویر دنیای هنر]]{{سخ}}[[پخش دنیای هنر]]{{سخ}}[[فیلیمو]] [[نماوا]] "
"عاشقانه (مجموعه نمایش خانگی)","Q31070986","distributor = مؤسسه هنر نمای پارسیان "
"دختر گمشده (فیلم ۲۰۱۴)","Q14920425","distributor = [[استودیو قرن بیستم]] "
"سوپرنچرال","Q130585","distributor = [[توزیع‌کننده تلویزیون برادران وارنر]] "
"جرئت یا حقیقت (فیلم ۲۰۱۸)","Q30302806","distributor = [[یونیورسال استودیوز]] "
"لوکی (مجموعه تلویزیونی)","Q64349029","distributor = دیزنی پلت‌فرم دیستربیوشن "
"تو در خانه‌ام را بزن","Q97206030","distributor = [[فاکس (ترکیه)"
"سیاوش (مجموعه نمایش خانگی)","Q105158713","distributor = [[نماوا]] "
"دولیتل (فیلم)","Q38689704","distributor = [[یونیورسال پیکچرز]] "
"۳۶۵ روز: امروز","Q111526671","distributor = [[نتفلیکس]] "
"جواهری در قصر","Q133898","distributor = ام‌بی‌سی "
"اسکورپیون (مجموعه تلویزیونی)","Q17110140","distributor = [[پخش تلویزیونی سی‌بی‌اس]] "
"ژان دو باری (فیلم)","Q111209845","distributor = {{فهرست ساده"
"پدرم عجیبه","Q28021293","distributor = [[سامانه سخن‌پراکنی کره"
"۲۴ (مجموعه تلویزیونی)","Q56194","distributor = [[تلویزیون بیستم]] "
"استخراج (فیلم ۲۰۲۰)","Q58814616","distributor = [[نتفلیکس]] "
"خاندان اژدها","Q72930269","distributor = [[استودیوهای تلویزیون برادران وارنر]] "
