"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"آدرین برودی","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Films|970|classification.ores.articletopic/Culture.Biography.Biography*|901|recommendation.image_section/exists|1","Q104514","tt0253474","The Pianist","not exact match",NA,NA
"دارث ویدر","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Literature|896|classification.ores.articletopic/Culture.Media.Films|999","Q12206942","tt7616114","A World Between Worlds","not exact match",NA,NA
"جنیفر کانلی","classification.ores.articletopic/Culture.Biography.Women|949|classification.ores.articletopic/Culture.Media.Films|951|classification.ores.articletopic/Geography.Regions.Americas.North_America|685|classification.ores.articletopic/Culture.Media.Media*|949|classification.ores.articletopic/Culture.Biography.Biography*|909","Q103343","tt0087843","Once Upon a Time in America","not exact match",NA,NA
"ریس ایفانز","classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Geography.Regions.Europe.Europe*|546|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|523|classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Culture.Media.Films|592","Q215017","tt6446550","The Parting Glass","not exact match",NA,NA
"آرایشگاه زیبا","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|523|classification.ores.articletopic/Geography.Regions.Asia.Asia*|585|classification.ores.articletopic/Culture.Media.Media*|939|classification.ores.articletopic/Culture.Media.Films|899","Q5937964","tt2265719","Barbershop Ziba","not exact match",NA,NA
"گیسو (مجموعه نمایش خانگی)","classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Films|877","Q98713211","tt6217938","Asheghaneh","not exact match",NA,NA
"سلما هایک","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Culture.Biography.Biography*|859|classification.ores.articletopic/Geography.Regions.Americas.North_America|658|classification.ores.articletopic/Culture.Media.Films|966|recommendation.image_section/exists|1","Q125106","tt0448694","Puss in Boots","not exact match",NA,NA
"گشت ارشاد ۲","classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Media.Films|859","Q27481441","tt6211538","The Patrol 2","not exact match",NA,NA
"آلن ریکمن","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|546|classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Films|983","Q106481","tt0914797","Bottle Shock","not exact match",NA,NA
"شب برهنه","classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|970|classification.ores.articletopic/Culture.Media.Films|938|classification.ores.articletopic/Geography.Regions.Asia.Asia*|912|classification.ores.articletopic/Culture.Biography.Biography*|672|recommendation.link/exists|1","Q5937624","tt1118627","Naked Night","not exact match",NA,NA
"فرزانه تأییدی","classification.ores.articletopic/Geography.Regions.Asia.Asia*|817|classification.ores.articletopic/Culture.Media.Films|665|classification.ores.articletopic/Culture.Biography.Biography*|971|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|808","Q5961013","tt0102555","Not Without My Daughter","not exact match",NA,NA
"بانو (فیلم ۱۳۷۰)","classification.ores.articletopic/Culture.Media.Films|863|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Geography.Regions.Asia.Asia*|607|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|672","Q5951662","tt0103746","The Lady","not exact match",NA,NA
"کیرستن دانست","classification.ores.articletopic/Culture.Biography.Women|945|classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Media.Films|969|classification.ores.articletopic/Culture.Biography.Biography*|870","Q76478","tt0761882","The Snow Queen","not exact match",NA,NA
"دانی ین","classification.ores.articletopic/Culture.Biography.Biography*|706|classification.ores.articletopic/Culture.Media.Films|741|classification.ores.articletopic/Geography.Regions.Asia.East Asia|996|classification.ores.articletopic/Culture.Sports|222|classification.ores.articletopic/Geography.Regions.Asia.Asia*|979","Q311723","tt0299977","Hero","not exact match",NA,NA
"کارگر ساده نیازمندیم","classification.ores.articletopic/Culture.Media.Films|874|classification.ores.articletopic/Culture.Media.Media*|870|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|870|classification.ores.articletopic/Geography.Regions.Asia.Asia*|831|classification.ores.articletopic/Culture.Biography.Biography*|538","Q28100686","tt7967312","Simple Worker Needed","not exact match",NA,NA
"قانون مورفی (فیلم)","classification.ores.articletopic/Culture.Media.Media*|988|classification.ores.articletopic/Culture.Media.Films|629","Q56365517","tt9839040","Murphy's Law","not exact match",NA,NA
"جمره بایسل","classification.ores.articletopic/Culture.Media.Films|672|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|959|classification.ores.articletopic/Geography.Regions.Asia.Asia*|912","Q107463107","tt12687768","My Left Side","not exact match",NA,NA
"فیلم‌شناسی جکی چان","classification.ores.articletopic/Geography.Regions.Asia.Asia*|782|classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Films|953|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|808|classification.ores.articletopic/Culture.Biography.Biography*|562","Q948564","tt0237969","The Incredibly Strange Film Show","not exact match",NA,NA
"دختر در زیرزمین","classification.ores.articletopic/Culture.Media.Films|970|classification.ores.articletopic/Culture.Media.Media*|1000","Q109552421","tt13269536","Girl in the Basement","not exact match",NA,NA
"پل نیومن","classification.ores.articletopic/Geography.Regions.Americas.North_America|592|classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Films|978|classification.ores.articletopic/Culture.Biography.Biography*|787","Q41871","tt0081492","The Shadow Box","not exact match",NA,NA
"به وقت خماری","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|843|classification.ores.articletopic/Geography.Regions.Asia.Asia*|798|classification.ores.articletopic/Culture.Media.Media*|771|classification.ores.articletopic/Culture.Media.Films|615","Q52442573","tt9293926","In the Time of Hangover","not exact match",NA,NA
"مردم معمولی (مجموعه نمایش خانگی)","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Media.Television|685|classification.ores.articletopic/Culture.Media.Films|754","Q107352672","tt14372194","Normal People","not exact match",NA,NA
"نیمه‌شب اتفاق افتاد","classification.ores.articletopic/Culture.Media.Media*|938|classification.ores.articletopic/Culture.Media.Films|936|classification.ores.articletopic/Geography.Regions.Asia.Asia*|622","Q25424444","tt6215376","It Happened at Midnight","not exact match",NA,NA
"ریچل مک‌آدامز","classification.ores.articletopic/Culture.Media.Films|991|classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Geography.Regions.Americas.North_America|787|recommendation.image_section/exists|1","Q190386","tt1126618","Morning Glory","not exact match",NA,NA
"رامی ملک","classification.ores.articletopic/Geography.Regions.Americas.North_America|637|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Biography.Biography*|945|classification.ores.articletopic/Culture.Media.Films|979","Q375590","tt4158110","Mr. Robot","not exact match",NA,NA
"وضعیت سفید","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Media.Films|960","Q5956978","tt6217954","White Status","not exact match",NA,NA
"جسی پلمونس","classification.ores.articletopic/Geography.Regions.Americas.North America|656|classification.ores.articletopic/Culture.Media.Media*|931|classification.ores.articletopic/Culture.Biography.Biography*|755|classification.ores.articletopic/Culture.Media.Films|560","Q1138674","tt5710974","USS Callister","not exact match",NA,NA
"ولی‌الله مؤمنی","classification.ores.articletopic/Culture.Biography.Biography*|855|classification.ores.articletopic/Culture.Media.Media*|793|classification.ores.articletopic/Culture.Media.Films|538","Q16047301","tt2246236","World Supersport Championship Review 2011","not exact match",NA,NA
"بی‌مصرف‌ها (مجموعه فیلم)","classification.ores.articletopic/Culture.Media.Video games|426|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/Culture.Media.Films|345","Q3062086","tt1320253","The Expendables","not exact match",NA,NA
"زورو","classification.ores.articletopic/Culture.Literature|975|classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Media.Entertainment|773|classification.ores.articletopic/Culture.Media.Films|338","Q226822","tt0755129","Presenting Señor Zorro","not exact match",NA,NA
"سیدارت مالهوترا","classification.ores.articletopic/Culture.Media.Films|963|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|974|classification.ores.articletopic/Geography.Regions.Asia.Asia*|971|classification.ores.articletopic/Culture.Biography.Biography*|982|classification.ores.articletopic/Culture.Media.Media*|969","Q3483111","tt1188996","My Name Is Khan","not exact match",NA,NA
"محمود نظرعلیان","classification.ores.articletopic/Culture.Media.Films|893|classification.ores.articletopic/Culture.Media.Media*|743|classification.ores.articletopic/Culture.Biography.Biography*|585|recommendation.link/exists|1|recommendation.image/exists|1","Q5946130","tt0278159","Under the Moonlight","not exact match",NA,NA
"سم کلفلین","classification.ores.articletopic/Culture.Biography.Biography*|716|classification.ores.articletopic/Culture.Media.Media*|941|classification.ores.articletopic/Culture.Media.Films|500|recommendation.image_section/exists|1","Q366833","tt4411596","My Cousin Rachel","not exact match",NA,NA
"گناهکاران","classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Geography.Regions.Asia.Asia*|500|classification.ores.articletopic/Culture.Media.Media*|994","Q5949564","tt2338337","The Sinners","not exact match",NA,NA
"اسکات ایستوود","classification.ores.articletopic/Culture.Media.Media*|964|classification.ores.articletopic/Culture.Biography.Biography*|988|classification.ores.articletopic/Culture.Media.Films|904","Q1320494","tt1935194","Overdrive","not exact match",NA,NA
"روز بلوا","classification.ores.articletopic/Culture.Media.Films|953|classification.ores.articletopic/Culture.Media.Media*|980","Q85971300","tt16283022","The Day of the Riot","not exact match",NA,NA
"خون شد","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|577|classification.ores.articletopic/Culture.Media.Media*|870|classification.ores.articletopic/Culture.Media.Films|812|classification.ores.articletopic/Geography.Regions.Asia.Asia*|644|recommendation.link/exists|1","Q85970015","tt11120670","It Turned Into Blood","not exact match",NA,NA
"جفری راش","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Culture.Media.Films|974","Q166272","tt1790809","Pirates of the Caribbean: Dead Men Tell No Tales","not exact match",NA,NA
"مترجم (مجموعه نمایش خانگی)","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Films|737","Q120122807","tt26343462","The Translator","not exact match",NA,NA
"ضد گلوله (فیلم)","classification.ores.articletopic/Geography.Regions.Asia.West_Asia|665|classification.ores.articletopic/Geography.Regions.Asia.Asia*|592|classification.ores.articletopic/Culture.Media.Films|877|classification.ores.articletopic/Culture.Media.Media*|808|classification.ores.articletopic/Culture.Biography.Biography*|651","Q5934489","tt2489408","Bulletproof","not exact match",NA,NA
"دوران عاشقی","classification.ores.articletopic/Culture.Media.Films|984|classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Biography.Biography*|622","Q376596","tt4917384","Time to Love","not exact match",NA,NA
"قارچ سمی (فیلم)","classification.ores.articletopic/Culture.Media.Films|921|classification.ores.articletopic/Culture.Media.Media*|926|recommendation.link/exists|1","Q5961898","tt0877628","Toadstool","not exact match",NA,NA
"شام عروسی","classification.ores.articletopic/Culture.Media.Media*|979|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|969|classification.ores.articletopic/Culture.Media.Films|952|classification.ores.articletopic/Geography.Regions.Asia.Asia*|899","Q5907979","tt0816176","Wedding Dinner","not exact match",NA,NA
