"title","wikibase_item","Studio"
"جن‌گیر پاپ","Q116733128","studio = {{فهرست ساده"
"۲۰۰۱: ادیسه فضایی (فیلم)","Q103474","studio = [[مترو گلدوین مایر]] "
"ونوم (فیلم ۲۰۱۸)","Q23006268","studio = {{فهرست ساده"
"چپ‌دست (فیلم ۲۰۱۵)","Q17276718","studio = {{فهرست ساده"
"افسانه (فیلم ۲۰۱۵)","Q17182571","studio = | distributor = {{Plainlist "
"روزی روزگاری در هالیوود","Q47300912","studio = {{فهرست ساده"
"بلو بیتل (فیلم)","Q107808351","studio = {{فهرست ساده"
"جاده خاکی","Q108300151","studio = <!-- or: "
"شش قهرمان بزرگ (فیلم)","Q13091172","studio = {{Plainlist"
"دکتر استرنج (فیلم ۲۰۱۶)","Q18406872","studio = [[مارول استودیوز]] "
"بی‌مصرف‌ها ۲","Q210812","studio = [[آوی لرنر]] "
"کیو (فیلم)","Q3412379","studio = | distributor = "
"یک مکان ساکت","Q39070473","studio = [[پلاتینوم دونس]] "
"برو بیرون","Q25136235","studio = {{فهرست ساده"
"پلنگ سیاه (فیلم ۲۰۱۸)","Q23780734","studio = [[مارول استودیوز]] "
"بیوه سیاه (فیلم ۲۰۲۱)","Q23894626","studio = [[مارول استودیوز]] "
"عملیات فورچون","Q104822312","studio = [[میرامکس]] "
"فسیل (فیلم ۱۹۷۲)","Q3232745","studio = | distributor = "
"مأموریت: غیرممکن – فال‌اوت","Q29261993","studio = {{Plainlist"
"هابز و شاو","Q56559254","studio = {{Plainlist"
"لولیتا (فیلم ۱۹۹۷)","Q593877","studio = [[پتی]] "
"توطئه‌آمیز (فیلم)","Q122713","studio = گلوبال{{سخ}}استیج ۶ فیلمز{{سخ}}[[بلوم‌هاوس پروداکشنز]] "
"گودزیلا: سلطان هیولاها (فیلم ۲۰۱۹)","Q17501972","studio = [[لجندری پیکچرز]] "
"نام تو","Q21697406","studio = [[کومیکس ویو فیلمز]] "
"روح‌شده (فیلم ۲۰۲۳)","Q111170185","studio = [[اسکای‌دنس مدیا]] "
"دارودسته‌های نیویورکی","Q154581","studio = {{فهرست ناگلوله‌ای"
"فلش (فیلم ۲۰۲۳)","Q23562553","studio = {{Plainlist"
"نگهبانان کهکشان بخش ۳","Q29226331","studio = [[مارول استودیوز]] "
"خاکستری (فیلم ۲۰۱۱)","Q1147689","studio = [[ال‌دی اینترتیمنت]]{{سخ}}[[اسکات فری پروداکشنز]]{{سخ}}Inferno Distribution "
"دکتر استرنج در چندجهانی دیوانگی","Q64211112","studio = [[مارول استودیوز]] "
"معجون زمان","Q838013","studio = | distributor = [[گومون]] "
"جوان (فیلم ۲۰۲۳)","Q113493289","studio = [[رد شیلیز انترتینمنت]] "
"ملیسا پی.","Q370618","studio = | distributor = "
"آواتار: راه آب","Q3604746","studio = {{فهرست ساده"
"دنیای ژوراسیک","Q3512046","studio = [[لجندری پیکچرز]]{{سخ}}[[امبلین انترتینمنت]] "
"بازی تقلید","Q14918344","studio = {{فهرست ساده"
"چاقوکشی (فیلم ۲۰۱۹)","Q57982486","studio = مدیا رایت کپیتال<ref>{{Cite web"
"مرد خاکستری","Q104891260","studio = {{فهرست ساده"
"داستان او (فیلم)","Q7491333","studio = ینگ فیلم درپاریس "
"تایگر زنده است","Q28753302","studio = [[یاش راج فیلمز]] "
"نابودگر ۲: روز داوری","Q170564","studio = {{فهرست ساده"
"خانواده فیبلمن","Q107710009","studio = {{فهرست ساده"
"ویران‌شده","Q1212650","studio = میکرواسکوپ<ref>http://www.micro-scope.ca/films/incendies.html {{Webarchive"
"مرد آزاد","Q38685497","studio = {{فهرست ساده"
"ریکی (فیلم ۲۰۰۹)","Q2000427","studio = | distributor = Le Pacte "
"اتاق فرار (فیلم)","Q48672477","studio = {{ubl"
"آبان و خورشید","Q24037209","studio = [[رود دلیریو فیلمز]]{{سخ}}[[کام وات می پروداکشنز]] "
"بالا رو نگاه نکن (فیلم ۲۰۲۱)","Q100361490","studio = [[Hyperobject Industries"
"بی‌نهایت (فیلم ۲۰۲۱)","Q64067920","studio = دی بوناونتورا پیکچرز "
"بتمن آغاز می‌کند","Q166262","studio = {{فهرست ساده"
"زیر پوست (فیلم ۲۰۱۳)","Q4366287","studio = {{Plain list"
"امتحان کن!","Q3738711","studio = | distributor = "
"ثور (فیلم)","Q217020","studio = [[مارول استودیوز]] "
"گلادیاتور ۲","Q115789958","studio = {{فهرست ناگلوله‌ای"
"انتقام‌جویان: جنگ ابدیت","Q23780914","studio = [[مارول استودیوز]] "
"دکتر اسلیپ (فیلم)","Q56881169","studio = | distributor = [[برادران وارنر]] "
"همراه با خدایان: دو جهان","Q26252639","studio = {{Plainlist"
"زمانی برای مردن نیست","Q21534241","studio = {{فهرست ساده"
"دزدان دریایی کارائیب: مردگان حکایت نمی‌کنند","Q10350033","studio = {{فهرست ساده"
"مارول‌ها","Q89474225","studio = [[مارول استودیوز]] "
"وارکرفت (فیلم)","Q14513321","studio = [[لجندری پیکچرز]]{{سخ}}[[بلیزارد انترتینمنت]]{{سخ}}[[اطلس انترتینمنت]] "
"ستیغ هک‌سا","Q21010856","studio = {{Plainlist"
"رمبو: آخرین خون","Q54854465","studio = | distributor = [[لاینزگیت فیلمز]] "
"کاپیتان آمریکا: نخستین انتقام‌جو","Q275120","studio = [[مارول استودیوز]] "
"کینگزمن","Q61633664","studio = {{Plainlist"
"ورود (فیلم ۲۰۱۶)","Q20382729","studio = {{فهرست ساده"
"زیبای خفته (فیلم ۱۹۵۹)","Q215617","studio = استودیوی انیمیشن والت دیزنی "
"خاندان گوچی","Q105549749","studio = {{فهرست ساده"
"آنابل به خانه می‌آید","Q55973412","studio = [[نیو لاین سینما]]{{سخ}}اتمیک مانستر پروداکشنز{{سخ}}سفرن کمپانی "
"انولا هولمز (فیلم)","Q65032692","studio = [[لجندری پیکچرز]] "
"مکانیک: رستاخیز","Q18552037","studio = {{plainlist"
"۳۶۵ روز آینده","Q112943746","studio = {{فهرست ساده"
"شهر گمشده (فیلم ۲۰۲۲)","Q107040798","studio = {{فهرست ساده"
"دارودسته (فیلم ۲۰۱۵)","Q15725811","studio = {{Plainlist"
"معتاد (فیلم ۲۰۱۴)","Q16158068","studio = بَد کُد اینترتیمنت<ref name=lang>{{Cite news "
"قرمز شدن","Q104845027","studio = {{فهرست ساده"
"مادر!","Q25339558","studio = [[Protozoa Pictures"
"قطار سریع‌السیر (فیلم ۲۰۲۲)","Q99900595","studio = {{فهرست ساده"
"جیغ ۶","Q112183099","studio = {{فهرست ساده"
"ویپلش","Q15648198","studio = | distributor = [[سونی پیکچرز کلاسیکس]] "
"نگهبانان کهکشان (فیلم)","Q5887360","studio = [[مارول استودیوز]] "
"ترساننده","Q50650165","studio = [[Epic Pictures Group"
"پسر (فیلم ۲۰۱۶)","Q19850968","studio = | distributor = [[اس‌تی‌ایکس اینترتینمنت]] "
"جوکر: جنون دو نفر","Q108628759","studio = {{فهرست ساده"
"فاجعه (فیلم ۲۰۲۳)","Q116236570","studio = [[واتپد]] "
"ماشینم را بران","Q107107865","studio = {{Plainlist"
"آتش (فیلم ۱۹۹۶)","Q1418833","studio = [[Kaleidoscope Entertainment]]{{سخ}}Trial by Fire Films "
"ددپول ۳","Q102180106","studio = {{فهرست ساده"
"سالن کیتی","Q210509","studio = | distributor = [[فاکس قرن بیستم]] "
"ستایش (فیلم ۲۰۱۳)","Q3233052","studio = هاپ‌اسکاچ فیلمز{{سخ}}[[رمستار]] "
"وقتی مارنی آنجا بود","Q15303700","studio = [[استودیو جیبلی]] "
