"title","wikibase_item","Studio"
"San Andreas (película)","Q15973073","studio = }} '''''San Andreas''''' (titulada '''''Terremoto: La falla de San Andrés''''' en [[Hispanoamérica]] y '''''San Andrés''''' en [[España]]) es una película [[Estados Unidos"
"Transformers: el último caballero","Q24251026","studio = | presupuesto = 260 millones [[dólar estadounidense"
"Un monstruo viene a verme (película)","Q18200409","studio = |presupuesto = $ 43 000 000<ref name=""budget0"">{{Cita noticias "
"Akira (película de 1988)","Q1905968","studio = [[TMS Entertainment]] "
"El niño (película de 2016)","Q19850968","studio = | presupuesto = $10 millones "
"Star Wars: Episodio II - El ataque de los clones","Q181069","studio = [[20th Century Fox Home Entertainment]] "
"The Secret Life of Pets","Q18844656","studio = | presupuesto = $75.000.000 "
"Dark Waters (película de 2019)","Q60617937","studio = }} '''''Dark Waters''''' (titulada como '''''Aguas oscuras''''' en [[España]] y '''''El precio de la verdad''''' en [[Hispanoamérica]]) es una película de [[Thriller legal"
"El Grinch (película de 2018)","Q15632949","studio = | presupuesto = $75 000 000<ref>{{cite web"
"The Polar Express","Q862197","studio = | presupuesto = $ 165 millones<ref name=boxofficemojo/> "
"Milagro en la celda 7","Q3809340","studio = | fotografía = Kang Seung-gi "
"American Beauty","Q25139","studio = Warner Brothers Burbank Studios "
"Oldboy (película de 2003)","Q475693","studio = | presupuesto = "
"God of War: Ragnarök","Q99397916","studio = | género = [[Música clásica contemporánea]] "
"Yuragi-sō no Yūna-san","Q24876869","studio = [[Xebec]] "
"The Amazing Spider-Man 2: Rise of Electro","Q4254026","studio = [[Columbia Pictures]] "
"Bring It On","Q1141111","studio = Beacon Pictures "
"Psycho-Pass","Q1315951","studio = [[Production I.G]]<ref name=""history"" /> "
"La forma del agua","Q26698156","studio = | genre = [[Banda sonora]] "
"El Camino: A Breaking Bad Movie","Q61741521","studio = {{Lista simple"
"Nymphomaniac","Q3346699","studio = [[Zentropa]]<br />Heimatfilm "
"El discurso del rey","Q160060","studio = [[See Saw Films]]<br />[[Bedlam Productions]] "
"127 horas","Q174371","studio = Film4 Productions<br />HandMade Films<br />[[Warner Bros. Pictures]] "
"Shigatsu wa Kimi no Uso","Q11419997","studio = [[A-1 Pictures]] "
"Mob Psycho 100","Q11344543","studio = [[Bones (estudio)"
"Warrior (película)","Q1415964","studio = | imdb = 1291584 "
"1917 (película)","Q62721520","studio = | genre = [[instrumental]], [[orchestral]] "
"Our Brand Is Crisis (película)","Q18209382","studio = |presupuesto = [[USD"
"Highschool of the Dead","Q830771","studio = [[Madhouse (animación)"
"El maquinista","Q845252","studio = [[Filmax Entertainment]]<br/>Canal+ España<br/>Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)<br/>ICF }} '''''El maquinista''''' ('''''The Machinist''''', en el original en inglés) es una película hispano-estadounidense realizada en [[2004]] del género [[suspense psicológico]], dirigida por [[Brad Anderson]] y escrita por Scott Kosar, protagonizada por [[Christian Bale]] en compañía de [[Jennifer Jason Leigh]], John Sharian, [[Aitana Sánchez-Gijón]] y [[Michael Ironside]]. == Argumento == [[Archivo:Christian Bale NYC premier Dark Knight.jpg"
"Resident Evil: bienvenidos a Raccoon City","Q101069738","studio = | imdb = "
"Cuando el destino nos alcance","Q426196","studio = Los Ángeles, California, USA<br />Los Angeles Memorial Sports Arena - 3939 S. Figueroa Street, Los Ángeles, California, USA (Exteriores del Centro de Eutanasia)<br />Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA ((Escena de los disturbios de la ciudad de Nueva York))<br />Chevron Refinery Power Generating Station, 300 Vista del Mar, El Segundo, California, USA (Fábrica de Soylent) "
"22 de julio (película)","Q48818107","studio = Scott Rudin Productions<br />Netflix "
"Los diez mandamientos (película de 1956)","Q746733","studio = Paramount Pictures "
"Tusk (película de 2014)","Q15139203","studio = * Demarest Films * [[SModcast Pictures]] "
"La momia (película de 2017)","Q23759268","studio = [[K/O Paper Products]]<br/>Sean Daniel Company "
"No respires","Q21450470","studio = | presupuesto = [[USD]] [[$]] 10 000 000 "
"War Dogs","Q19872548","studio = |presupuesto = {{USD"
"Trouble with the Curve","Q112747","studio = [[Warner Bros.]] "
"Train to Busan","Q20948236","studio = |presupuesto = $8.5 millones<ref>{{cite journal "
"Night at the Museum","Q387601","studio = [[20th Century Fox Home Entertainment]] "
"Jack Reacher: Never Go Back","Q21168538","studio = | presupuesto = US$96 000 000 "
"Los tres chiflados (película de 2012)","Q63980","studio = [[21st Century Fox]] "
"Cicatrices","Q6411180","studio = | presupuesto = "
"Star Wars: Episode VI - Return of the Jedi","Q181803","studio = [[20th Century Fox]] "
"Pacific Rim: Uprising","Q27826501","studio = [[Legendary Entertainment"
"Begin Again (película)","Q2935739","studio = |imdb = 1980929 "
"Digimon Adventure","Q689114","studio = [[Toei Animation]] "
"Are We There Yet?","Q582120","studio = | presupuesto = $32.000.000 "
"Toy Story 3","Q187278","studio = [[The Walt Disney Company]] "
"Hugo (película)","Q206576","studio = [[Viacom]] "
"Raiders of the Lost Ark","Q174284","studio = [[Lucasfilm"
"Now You See Me 2","Q18703028","studio = |presupuesto = $90 millones "
"Serial Experiments Lain","Q858387","studio = [[Triangle Staff]] "
"A Nightmare on Elm Street (franquicia)","Q617871","studio = [[New Line Cinema]]<br>[[Warner Bros. Pictures]] "
"Kobayashi-san Chi no Maid Dragon","Q17991408","studio = [[Kyoto Animation]] "
"Paprika (anime)","Q578595","studio = | imdb = 0851578 "
"Star Wars: Episodio V - El Imperio contraataca","Q181795","studio = | presupuesto = 18&nbsp;000&nbsp;000&nbsp;[[USD]] "
"300: Rise of an Empire","Q400332","studio = [[Legendary Pictures]]<br />[[Cruel and Unusual Films]]<br />Atmosphere Pictures<br />Hollywood Gang Productions "
"Toy Story 2","Q187266","studio = | genre = [[Film score"
"The Night House","Q77906196","studio = | imdb = 9731534 }} '''''The Night House''''' ''('''La casa oscura''' en [[Hispanoamérica]])'' es una película de [[suspenso]] y [[terror psicológico]] de [[2020]] dirigida por [[David Bruckner]], basada en un guion original de Ben Collins y Luke Piotrowski.<ref>{{Cita web"
"Alien vs. Predator","Q155163","studio = [[20th Century Fox Home Entertainment]] "
"Chronicle (película)","Q1087883","studio = Davis Entertainment<br />Adam Schroeder Productions<br />Film Afrika Worldwide "
"Problem Child","Q2075493","studio = [[Imagine Entertainment]] "
