"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Adaptación literaria","classification.ores.articletopic/Culture.Media.Films|343|classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Culture.Media.Books|868|classification.ores.articletopic/Culture.Literature|857","Q352425","tt0000420","Alice in Wonderland","not exact match",NA,NA
"Cine en 2021","classification.ores.articletopic/Culture.Biography.Biography*|410|classification.ores.articletopic/Culture.Media.Films|947","Q56278196","tt10661710","Born a Champion","not exact match",NA,NA
"Under the Sea","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Films|832|classification.ores.articletopic/Culture.Media.Music|882","Q3119769","tt0097757","The Little Mermaid","not exact match",NA,NA
"El método Tangalanga","classification.ores.articletopic/Culture.Media.Films|1000|classification.ores.articletopic/Culture.Media.Media*|998","Q117354252","tt23036332","The Tangalanga Method","not exact match",NA,NA
"Taboo (serie fílmica)","classification.ores.articletopic/Culture.Media.Films|957|classification.ores.articletopic/STEM.Biology|438|classification.ores.articletopic/History and Society.Society|558|classification.ores.articletopic/Culture.Biography.Biography*|494|classification.ores.articletopic/Culture.Media.Media*|858","Q980932","tt0081593","Taboo","not exact match",NA,NA
"Cad Bane","classification.ores.articletopic/Culture.Literature|724|classification.ores.articletopic/Culture.Media.Entertainment|637|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|1000","Q52374","tt0458290","Star Wars: The Clone Wars","not exact match",NA,NA
"Cine en 2020","classification.ores.articletopic/Culture.Media.Films|967","Q20979589","tt2263648","What About Love","not exact match",NA,NA
"Infierno del desarrollo","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Films|585","Q2081312","tt0803096","Warcraft","not exact match",NA,NA
"Cine en 2011","classification.ores.articletopic/Culture.Media.Films|987","Q250415","tt1531663","Everything Must Go","not exact match",NA,NA
"Tyke","classification.ores.articletopic/Culture.Media.Films|685|classification.ores.articletopic/History_and_Society.Society|731|classification.ores.articletopic/Culture.Media.Media*|760|classification.ores.articletopic/History_and_Society.Politics_and_government|731|classification.ores.articletopic/STEM.Biology|546|classification.ores.articletopic/STEM.STEM*|562","Q2790269","tt4254838","Tyke Elephant Outlaw","not exact match",NA,NA
"Películas de Bolivia","classification.ores.articletopic/Culture.Media.Films|994|classification.ores.articletopic/Culture.Media.Media*|814","Q6564239","tt2638480","Yvy Maraey","not exact match",NA,NA
