"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Vladimir Mayakovsky","classification.ores.articletopic/History and Society.Military and warfare|912|classification.ores.articletopic/Geography.Regions.Asia.Asia*|961|classification.ores.articletopic/Culture.Biography.Biography*|898|classification.ores.articletopic/Geography.Regions.Asia.North Asia|996|classification.ores.articletopic/History and Society.Society|883|classification.ores.articletopic/Geography.Regions.Europe.Eastern Europe|956|classification.ores.articletopic/Geography.Regions.Europe.Europe*|960|recommendation.link/exists|1|recommendation.image_section/exists|1","Q132964","nm0562194","Vladimir Mayakovsky","match",NA,NA
"Margaret John","classification.ores.articletopic/Culture.Biography.Biography*|990|classification.ores.articletopic/Culture.Biography.Women|842|classification.ores.articletopic/History and Society.History|149|classification.ores.articletopic/Geography.Regions.Europe.Europe*|709|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|793","Q468004","nm0424191","Margaret John","match",NA,NA
"Harold Ramis","classification.ores.articletopic/Culture.Media.Films|275|classification.ores.articletopic/Culture.Biography.Biography*|935|classification.ores.articletopic/Geography.Regions.Americas.North America|890|classification.ores.articletopic/Culture.Media.Entertainment|656|classification.ores.articletopic/Culture.Media.Media*|916|recommendation.link/exists|1","Q286890","nm0000601","Harold Ramis","match",NA,NA
"Katherine Jenkins","classification.ores.articletopic/Culture.Performing arts|812|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|780|classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Culture.Biography.Biography*|924|classification.ores.articletopic/Culture.Media.Music|698|recommendation.link/exists|1|recommendation.image_section/exists|1","Q272581","nm1605049","Katherine Jenkins","match",NA,NA
"Rita Hayworth","classification.ores.articletopic/Culture.Media.Music|166|classification.ores.articletopic/Culture.Biography.Biography*|967|classification.ores.articletopic/History and Society.History|440|classification.ores.articletopic/Culture.Biography.Women|952|classification.ores.articletopic/Geography.Regions.Americas.North America|902","Q42745","nm00000028",NA,NA,NA,NA
"Tom Ellis (actor)","classification.ores.articletopic/Culture.Media.Entertainment|673|classification.ores.articletopic/Culture.Biography.Biography*|724|classification.ores.articletopic/Culture.Media.Television|959|classification.ores.articletopic/Culture.Media.Media*|981","Q1343564","nm0255124","Tom Ellis","not exact match",NA,NA
"Sophie Turner","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Biography.Biography*|997|classification.ores.articletopic/Culture.Biography.Women|546|classification.ores.articletopic/Culture.Media.Television|538|classification.ores.articletopic/Culture.Media.Films|817|recommendation.image_section/exists|1","Q240573","nm3849842","Sophie Turner","match",NA,NA
"Regis Philbin","classification.ores.articletopic/Culture.Sports|38|classification.ores.articletopic/Culture.Media.Media*|942|classification.ores.articletopic/Culture.Biography.Biography*|953|classification.ores.articletopic/Culture.Media.Entertainment|513|classification.ores.articletopic/Culture.Media.Television|945|classification.ores.articletopic/Geography.Regions.Americas.North America|855","Q463673","nm0005310","Regis Philbin","match",NA,NA
"Arden cho","classification.ores.articletopic/Culture.Media.Media*|725|classification.ores.articletopic/Geography.Regions.Americas.North America|544|classification.ores.articletopic/Culture.Biography.Women|811|classification.ores.articletopic/Culture.Biography.Biography*|985","Q4787920","nm3036914","Arden Cho","not exact match",NA,NA
"Omar Sharif","classification.ores.articletopic/Culture.Biography.Biography*|918","Q170515","nm0001725","Omar Sharif","match",NA,NA
"Jim Steinman","classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Culture.Biography.Biography*|588|classification.ores.articletopic/Culture.Media.Music|994|recommendation.link/exists|1","Q281908","nm826153",NA,NA,NA,NA
"Sergio Leone","classification.ores.articletopic/Culture.Media.Media*|802|classification.ores.articletopic/Culture.Biography.Biography*|534|classification.ores.articletopic/Culture.Media.Films|481","Q164562","nm0001466","Sergio Leone","match",NA,NA
"Ray Harryhausen","classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Culture.Media.Films|823|classification.ores.articletopic/Culture.Biography.Biography*|673|recommendation.image_section/exists|1","Q313341","nm0366063","Ray Harryhausen","match",NA,NA
"Derek Nimmo","classification.ores.articletopic/Culture.Biography.Biography*|966","Q1115072","nm0632368","Derek Nimmo","match",NA,NA
"Thomas Haden Church","classification.ores.articletopic/Culture.Media.Media*|940|classification.ores.articletopic/Culture.Media.Films|856|classification.ores.articletopic/Geography.Regions.Americas.North America|735|classification.ores.articletopic/Culture.Biography.Biography*|650","Q311615","nm0002006","Thomas Haden Church","match",NA,NA
"Tom Lister, Jr.","classification.ores.articletopic/Culture.Media.Television|676|classification.ores.articletopic/Geography.Regions.Americas.North America|643|classification.ores.articletopic/Culture.Biography.Biography*|419|classification.ores.articletopic/Culture.Media.Media*|970|classification.ores.articletopic/Culture.Media.Entertainment|968","Q1366768","nm0001474","Tom Lister Jr.","not exact match",NA,NA
"Jean-Luc Godard","classification.ores.articletopic/Culture.Media.Films|982|classification.ores.articletopic/Culture.Biography.Biography*|607|classification.ores.articletopic/Geography.Regions.Europe.Europe*|629|classification.ores.articletopic/Culture.Media.Media*|963|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|600","Q53001","nm0000419","Jean-Luc Godard","match",NA,NA
"Pam Ferris","classification.ores.articletopic/Culture.Biography.Women|760|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|658|classification.ores.articletopic/Culture.Biography.Biography*|841|classification.ores.articletopic/Culture.Media.Media*|770|classification.ores.articletopic/Culture.Media.Television|569|recommendation.link/exists|1","Q234071","nm0274913","Pam Ferris","match",NA,NA
"Tom O'Connor","classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Media.Entertainment|587|recommendation.link/exists|1","Q7817081","nm1056519","Tom O'Connor","match",NA,NA
"Shelley Hennig","classification.ores.articletopic/Culture.Biography.Women|868|classification.ores.articletopic/Culture.Visual arts.Fashion|873|classification.ores.articletopic/Culture.Biography.Biography*|983|classification.ores.articletopic/Culture.Visual arts.Visual arts*|937","Q258710","nm2645189","Shelley Hennig","match",NA,NA
"Isabel Allende","classification.ores.articletopic/Culture.Literature|893|classification.ores.articletopic/Culture.Biography.Women|952|classification.ores.articletopic/Culture.Biography.Biography*|940|classification.ores.articletopic/Geography.Regions.Americas.South America|928|classification.ores.articletopic/History and Society.Society|396|classification.ores.articletopic/History and Society.History|537|recommendation.link/exists|1","Q83566","nm0021196","Isabel Allende","match",NA,NA
"Stewart Granger","classification.ores.articletopic/Culture.Media.Media*|758|classification.ores.articletopic/Culture.Biography.Biography*|899","Q310150","nm0001289","Stewart Granger","match",NA,NA
"Sara Gregory","classification.ores.articletopic/Geography.Regions.Europe.Europe*|724|classification.ores.articletopic/Culture.Media.Television|664|classification.ores.articletopic/Culture.Media.Media*|683|classification.ores.articletopic/Culture.Biography.Women|755|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|777|classification.ores.articletopic/Culture.Biography.Biography*|970|recommendation.link/exists|1","Q7421643","nm1861915","Sara Gregory","match",NA,NA
"Dan Aykroyd","classification.ores.articletopic/Culture.Media.Media*|952|classification.ores.articletopic/Culture.Biography.Biography*|962|classification.ores.articletopic/Geography.Regions.Americas.North America|910|classification.ores.articletopic/Culture.Media.Entertainment|606","Q105221","nm0000101","Dan Aykroyd","match",NA,NA
"Pete Burns","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|600|classification.ores.articletopic/Culture.Media.Music|998|classification.ores.articletopic/Culture.Biography.Biography*|993|classification.ores.articletopic/Geography.Regions.Europe.Europe*|554|recommendation.image_section/exists|1","Q2082089","nm1047772","Pete Burns","match",NA,NA
"Joanna Scanlan","classification.ores.articletopic/Culture.Biography.Women|708|classification.ores.articletopic/Culture.Biography.Biography*|959|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|846","Q3179659","nm0768936","Joanna Scanlan","match",NA,NA
"Burt Reynolds","classification.ores.articletopic/Culture.Biography.Biography*|867|classification.ores.articletopic/Culture.Media.Media*|919|classification.ores.articletopic/Geography.Regions.Americas.North America|805","Q202148","nm0000608","Burt Reynolds","match",NA,NA
"Jay Leno","classification.ores.articletopic/Culture.Sports|37|classification.ores.articletopic/Culture.Media.Television|873|classification.ores.articletopic/Culture.Biography.Biography*|911|classification.ores.articletopic/Culture.Media.Media*|981|classification.ores.articletopic/Culture.Media.Entertainment|843|classification.ores.articletopic/Geography.Regions.Americas.North America|704","Q218718","nm0005143","Jay Leno","match",NA,NA
"Elfriede Jelinek","classification.ores.articletopic/Geography.Regions.Europe.Western Europe|864|classification.ores.articletopic/Culture.Biography.Women|948|classification.ores.articletopic/Culture.Biography.Biography*|930|classification.ores.articletopic/Geography.Regions.Europe.Europe*|927|classification.ores.articletopic/History and Society.Society|330|classification.ores.articletopic/History and Society.History|438|recommendation.link/exists|1","Q47243","nm0406161","Gottfried Hüngsberg","not exact match",NA,NA
"Ryuichi Sakamoto","classification.ores.articletopic/Culture.Biography.Biography*|923|classification.ores.articletopic/Culture.Media.Music|978|classification.ores.articletopic/Culture.Media.Media*|851","Q345494","nm0757098","Ryuichi Sakamoto","match",NA,NA
"Christopher Gorham","classification.ores.articletopic/Culture.Media.Television|842|classification.ores.articletopic/Culture.Media.Media*|922|classification.ores.articletopic/Culture.Biography.Biography*|806","Q347408","nm0330913","Christopher Gorham","match",NA,NA
"Laurie Holden","classification.ores.articletopic/Geography.Regions.Americas.North America|687|classification.ores.articletopic/Culture.Biography.Biography*|902|classification.ores.articletopic/Culture.Media.Media*|743|classification.ores.articletopic/Culture.Biography.Women|666","Q18947","nm0390229","Laurie Holden","match",NA,NA
"Karen Black","classification.ores.articletopic/Culture.Biography.Women|968|classification.ores.articletopic/History and Society.Society|429|classification.ores.articletopic/Culture.Media.Music|191|classification.ores.articletopic/Geography.Regions.Americas.North America|847|classification.ores.articletopic/Culture.Media.Media*|649|classification.ores.articletopic/Culture.Biography.Biography*|991|classification.ores.articletopic/History and Society.History|229","Q232333","nm0000947","Karen Black","match",NA,NA
