"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Nelson Dilipkumar","classification.ores.articletopic/Culture.Biography.Biography*|705|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|658|classification.ores.articletopic/Geography.Regions.Asia.Asia*|679|classification.ores.articletopic/Culture.Media.Films|867|classification.ores.articletopic/Culture.Media.Media*|948|classification.ores.drafttopic/Culture.Media.Media*|816|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|993|classification.ores.drafttopic/Culture.Biography.Biography*|552|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|593","Q63698985","nm12135964","Nelson Dilipkumar","match","nm4557568",NA
"Vijay Sethupathi filmography","classification.ores.articletopic/Culture.Media.Media*|945|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|743|classification.ores.articletopic/Culture.Media.Films|924|classification.ores.articletopic/Culture.Biography.Biography*|712|classification.ores.articletopic/Geography.Regions.Asia.Asia*|737|classification.ores.drafttopic/Culture.Biography.Biography*|553|classification.ores.drafttopic/Culture.Media.Media*|714|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|802|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|695|classification.ores.drafttopic/Culture.Media.Films|656","Q20650023","nm4043111","Vijay Sethupathi","not exact match",NA,NA
"List of Jessica Chastain performances","classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Media*|890|classification.ores.articletopic/Culture.Media.Films|812|classification.ores.articletopic/Culture.Biography.Women|531|classification.ores.drafttopic/Culture.Media.Media*|936|classification.ores.drafttopic/Culture.Biography.Biography*|641|classification.ores.drafttopic/Culture.Biography.Women|531|classification.ores.drafttopic/Culture.Media.Films|742","Q20814475","nm1567113","Jessica Chastain","not exact match",NA,NA
"Brad Pitt filmography","classification.ores.articletopic/Culture.Biography.Biography*|718|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Culture.Media.Films|968|classification.ores.drafttopic/Culture.Media.Media*|946|classification.ores.drafttopic/Culture.Media.Films|863","Q4954197","nm0000093","Brad Pitt","not exact match",NA,NA
"Denzel Washington on screen and stage","classification.ores.articletopic/Culture.Biography.Biography*|629|classification.ores.articletopic/Culture.Media.Films|912|classification.ores.articletopic/Culture.Media.Media*|847|classification.ores.drafttopic/Culture.Media.Media*|859|classification.ores.drafttopic/Culture.Media.Films|829","Q15085362","nm0000243","Denzel Washington","not exact match",NA,NA
"Stephen Gould (tenor)","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Music|999|classification.ores.articletopic/Culture.Biography.Biography*|877|classification.ores.articletopic/Culture.Performing_arts|877|classification.ores.articletopic/Culture.Biography.Women|515|classification.ores.drafttopic/Culture.Media.Music|968|classification.ores.drafttopic/Culture.Media.Media*|955|classification.ores.drafttopic/Culture.Biography.Biography*|929|classification.ores.drafttopic/Culture.Performing arts|980","Q2344749","nm5175043","Stephen Gould","not exact match",NA,NA
"Arijit Singh","classification.ores.articletopic/Culture.Biography.Biography*|592|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|899|classification.ores.articletopic/Geography.Regions.Asia.Asia*|899|classification.ores.articletopic/Culture.Media.Music|577|classification.ores.drafttopic/Geography.Regions.Europe.Europe*|655|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|943|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|967|classification.ores.drafttopic/Culture.Media.Media*|630","Q4790608","nm4837089",NA,NA,"nm3858033",NA
"Saba Azad","classification.ores.articletopic/Geography.Regions.Asia.Asia*|890|classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|808|classification.ores.drafttopic/Culture.Biography.Biography*|939|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|898|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|986","Q7395773","nm3439821",NA,NA,"nm3220898",NA
"Kapoor family","classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|996|classification.ores.articletopic/Geography.Regions.Asia.Asia*|993|classification.ores.articletopic/Culture.Biography.Biography*|699|classification.ores.articletopic/Culture.Media.Films|712|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|994|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|922|classification.ores.drafttopic/Culture.Internet culture|995","Q1000219","nm0004432","Prithviraj Kapoor","not exact match","tt0241310",NA
"Keanu Reeves filmography","classification.ores.articletopic/Culture.Media.Media*|980|classification.ores.articletopic/Geography.Regions.Americas.North_America|622|classification.ores.articletopic/Culture.Media.Films|977|classification.ores.articletopic/Culture.Biography.Biography*|699|classification.ores.drafttopic/Culture.Biography.Biography*|532|classification.ores.drafttopic/Culture.Media.Media*|958|classification.ores.drafttopic/Culture.Media.Films|877","Q12631003","nm0000206","Keanu Reeves","not exact match",NA,NA
