"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Guðmundur Kamban","classification.ores.articletopic/Geography.Regions.Europe.Europe*|985|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|992|classification.ores.articletopic/Culture.Biography.Women|546|classification.ores.articletopic/Culture.Biography.Biography*|994|recommendation.link/exists|1","Q3480970","nm0436478","Guðmundur Kamban","match",NA,NA
"Egill Ólafsson","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|948|classification.ores.articletopic/Culture.Media.Media*|668|classification.ores.articletopic/Culture.Media.Music|591|classification.ores.articletopic/Geography.Regions.Europe.Europe*|869|classification.ores.articletopic/Culture.Biography.Biography*|776|recommendation.link/exists|1","Q3481782","nm0959958","Egill Ólafsson","match",NA,NA
"Victoria Silvstedt","classification.ores.articletopic/Culture.Biography.Biography*|926|classification.ores.articletopic/Culture.Biography.Women|834|classification.ores.articletopic/Culture.Visual arts.Fashion|955|classification.ores.articletopic/Geography.Regions.Europe.Europe*|851|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|650|recommendation.image_section/exists|1","Q127423","nm0005429","Victoria Silvstedt","match",NA,NA
"Ólafía Hrönn Jónsdóttir","classification.ores.articletopic/Geography.Regions.Europe.Europe*|825|classification.ores.articletopic/Culture.Biography.Women|853|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|787|classification.ores.articletopic/Culture.Biography.Biography*|985","Q16420385","nm0433597","Ólafía Hrönn Jónsdóttir","match",NA,NA
"Friðrik Þór Friðriksson","classification.ores.articletopic/Culture.Biography.Biography*|839|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|857|classification.ores.articletopic/Culture.Media.Films|370|recommendation.link/exists|1","Q463540","nm0296144","Friðrik Þór Friðriksson","match",NA,NA
"Kristbjörg Kjeld","classification.ores.articletopic/History and Society.History|174|classification.ores.articletopic/Geography.Regions.Europe.Europe*|744|classification.ores.articletopic/Culture.Biography.Biography*|624|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|951","Q19360918","nm0457999","Kristbjörg Kjeld","match",NA,NA
"Þröstur Leó Gunnarsson","classification.ores.articletopic/Geography.Regions.Europe.Europe*|838|classification.ores.articletopic/Culture.Media.Films|380|classification.ores.articletopic/Culture.Biography.Biography*|646|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|918","Q8079563","nm0348276","Þröstur Leó Gunnarsson","match",NA,NA
"Lady Gaga","classification.ores.articletopic/Culture.Media.Music|661|classification.ores.articletopic/History and Society.History|372|classification.ores.articletopic/Culture.Literature|776|classification.ores.articletopic/History and Society.Society|848|classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Biography.Biography*|863|recommendation.link/exists|1","Q19848","nm3078932","Lady Gaga","match",NA,NA
"Sigríður Geirsdóttir","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|903|classification.ores.articletopic/Culture.Visual arts.Fashion|947|classification.ores.articletopic/Culture.Biography.Biography*|964|classification.ores.articletopic/Geography.Regions.Europe.Europe*|697|classification.ores.articletopic/Culture.Biography.Women|896","Q16104990","nm0825136","Sirry Steffen","not exact match",NA,NA
"Pétur Jóhann Sigfússon","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|852|classification.ores.articletopic/Culture.Biography.Biography*|614|classification.ores.articletopic/Geography.Regions.Europe.Europe*|843","Q15838801","nm1960616","Pétur Jóhann Sigfússon","match",NA,NA
"Caitlyn Jenner","classification.ores.articletopic/Culture.Sports|138|classification.ores.articletopic/Culture.Biography.Biography*|817|classification.ores.articletopic/History and Society.History|242|classification.ores.articletopic/Culture.Biography.Women|842|classification.ores.articletopic/History and Society.Society|583","Q365144","nm0421063","Caitlyn Jenner","match",NA,NA
"Josh Hutcherson","classification.ores.articletopic/Culture.Biography.Biography*|708|classification.ores.articletopic/Culture.Media.Films|968|classification.ores.articletopic/Geography.Regions.Americas.North America|838|classification.ores.articletopic/Culture.Media.Media*|929","Q217004","nm1242688","Josh Hutcherson","match",NA,NA
"The Weeknd","classification.ores.articletopic/Culture.Media.Music|1000|classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Biography.Biography*|996|classification.ores.articletopic/Geography.Regions.Americas.North_America|982","Q2121062","nm1070597","The Weeknd","match",NA,NA
"Ólafur Teitur Guðnason","classification.ores.articletopic/Culture.Media.Media*|777|classification.ores.articletopic/Geography.Regions.Europe.Europe*|766|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|637|classification.ores.articletopic/Culture.Biography.Biography*|500","Q15743956","nm1921142","Olafur Teitur Gudnason","not exact match",NA,NA
"Flosi Ólafsson","classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/Culture.Media.Media*|685|classification.ores.articletopic/Geography.Regions.Europe.Europe*|672|recommendation.link/exists|1","Q3481791","nm0959959","Flosi Ólafsson","match",NA,NA
"Ragnar Bragason","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Biography.Biography*|912|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Geography.Regions.Europe.Europe*|907|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|936|recommendation.link/exists|1","Q3446294","nm0103880","Ragnar Bragason","match",NA,NA
"Arnar Jónsson","classification.ores.articletopic/Culture.Biography.Biography*|876|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|950|classification.ores.articletopic/Geography.Regions.Europe.Europe*|851","Q463300","nm0433598","Arnar Jónsson","match",NA,NA
"Nína Dögg Filippusdóttir","classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|921|classification.ores.articletopic/Culture.Biography.Women|842|classification.ores.articletopic/Culture.Biography.Biography*|986|classification.ores.articletopic/Geography.Regions.Europe.Europe*|880","Q16423257","nm1292181","Nína Dögg Filippusdóttir","match",NA,NA
