"title","wikibase_item","FilmID","status","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"Pasant Aahe Mulgi (1989 film)","Q119556002","tt10018984","not exact match","movie","Pasant Ahe Mulgi","Pasant Ahe Mulgi",0,"1989","\N","142","Comedy,Family"
"From Kobe","Q11589841","tt3832088","not exact match","tvMovie","Kôbe zaijû","Kôbe zaijû",0,"2015","\N","90","Drama"
"Ben Ferris","Q30315468","tt0816159","not exact match","short","The Kitchen","The Kitchen",0,"2003","\N","11","Short"
"Kavaleradu Kulavandu","Q19572416","tt28699470","match","movie","Kavaleradu Kulavandu","Kavaleradu Kulavandu",0,"1964","\N","\N","\N"
"International Horror and Sci-Fi Film Festival","Q15139030","tt0370458","not exact match","short","Dial 'A' for Alphaman","Dial 'A' for Alphaman",0,"2002","\N","\N","Adventure,Comedy,Fantasy"
"Boston Society of Film Critics Awards 1998","Q4948109","tt0168219","not exact match","movie","Theme: Murder","Theme: Murder",0,"1999","\N","54","Documentary"
"41st Karlovy Vary International Film Festival","Q5639180","tt1307017","not exact match","short","Views of a Retired Night Porter","Views of a Retired Night Porter",0,"2006","\N","30","Documentary,Short"
"TrueTube","Q85810828","tt6690328","not exact match","short","Like Me","Like Me",0,"2017","\N","12","Drama,Short"
"Target (2014 film)","Q18611450","tt4469396","not exact match","movie","Ju ji shi ke","Ju ji shi ke",0,"2014","\N","86","Action,Crime"
"Adrian Lee (actor)","Q16196552","tt0509491","not exact match","tvEpisode","Happy Birthday","Happy Birthday",0,"2001","\N","45","Drama"
"Sabri Kaliç","Q6100836","tt1966660","not exact match","tvMovie","Ölüm Yolculugu","Ölüm Yolculugu",0,"1995","\N","65","Thriller"
"Yamekraw","Q111937386","tt0261436","match","short","Yamekraw","Yamekraw",0,"1930","\N","10","Musical,Short"
"Kaul Manacha","Q116894094","tt6181856","match","movie","Kaul Manacha","Kaul Manacha",0,"2016","\N","130","Comedy"
"Varsha Shilpa","Q49001678","tt2780104","not exact match","short","The Storyteller","The Storyteller",0,"2011","\N","\N","Documentary,Short"
"The Sergeant from Burralee","Q19879937","tt6021190","not exact match","tvMovie","The Attorney-General","The Attorney-General",0,"1961","\N","90","Drama"
"Uday Shankar Pani","Q28167104","tt2011085","not exact match","video","Khatarnak Irade","Khatarnak Irade",0,"1987","\N","\N","Thriller"
"Theater Talk","Q113158799","tt9695030","not exact match","tvEpisode","Theater Talk's 2019 Tony® Predictions Gala","Theater Talk's 2019 Tony® Predictions Gala",0,"2019","\N","57","Talk-Show"
"Michael Stabile","Q16215115","tt0820901","not exact match","short","I'm Dead After Work","I'm Dead After Work",0,"2003","\N","8","Documentary,Short"
"Bugadi Maazi Sandli Ga","Q117305707","tt9730976","not exact match","movie","Bugadi Majhi Sandli Ga","Bugadi Majhi Sandli Ga",0,"2015","\N","\N","Drama"
"Miracle (2019 film)","Q113011899","tt9705194","not exact match","movie","Milagre","Milagre",0,"2019","\N","74","Documentary"
