"title","wikibase_item","FilmID","status","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"کلاه‌قرمزی ۹۰","Q5732933","tt2344689","not exact match","tvSeries","Kolah Ghermezi 90","Kolah Ghermezi 90",0,"2011","\N","\N","Comedy,Family"
"ساکنین سرزمین سکوت","Q14755801","tt0438388","not exact match","movie","From the Land of Silence","Sakenine sarzamine sokoot",0,"2004","\N","70","Drama"
"مردی با کت و شلوار مشکی","Q2045767","tt0404220","not exact match","short","The Man in the Black Suit","The Man in the Black Suit",0,"2004","\N","20","Horror,Short,Thriller"
"صف (فیلم)","Q14756574","tt1924369","not exact match","movie","The Queue","Saf",0,"1985","\N","\N","\N"
"صحنه‌هایی از یک جدایی","Q85972581","tt9077150","not exact match","movie","Scenes from a Separation","Scenes from a Separation",0,"2019","\N","77","Documentary"
"طوفان سنجاقک","Q56365520","tt5073624","not exact match","short","The Dragonfly Storm","Toofan-e Sanjaghak",0,"2002","\N","15","Mystery,Short"
"من نگهدار جمالی وسترن می‌سازم","Q17993992","tt2626034","not exact match","movie","Man Negahdar Jamali Western Misazam","Man Negahdar Jamali Western Misazam",0,"2012","\N","65","Biography,Documentary,Western"
"آنا سیگالویچ","Q18067290","tt0973796","not exact match","movie","Don de Dios","Don de Dios",0,"2005","\N","90","Drama"
"من می‌خوام شاه بشم","Q56357890","tt4329054","not exact match","movie","I Want to Be a King","I Want to Be a King",0,"2015","\N","70","Documentary,Drama,Family"
"آبشار طلا","Q5677231","tt6250106","not exact match","movie","The Golden Waterfall","Abshar-e tala",0,"1972","\N","\N","\N"
"بهروز سبط رسول","Q27954733","tt21080366","not exact match","tvSeries","The Most Ancient Land","The Most Ancient Land",0,"2018","2020","45","Documentary"
"قمارباز (فیلم کوتاه)","Q28714089","tt5238644","not exact match","short","Gambler","Ghomarbaz",0,"2015","\N","20","Crime,Drama,Mystery"
"آبل کین","Q4666543","tt0187679",NA,NA,NA,NA,NA,NA,NA,NA,NA
"هفتاد و سومین مراسم گلدن گلوب","Q21094897","tt4399942","not exact match","tvSpecial","73rd Golden Globe Awards","73rd Golden Globe Awards",0,"2016","\N","\N","Comedy"
"سی و نهمین دوره جوایز اسکار","Q167214","tt0353124","not exact match","tvSpecial","The 39th Annual Academy Awards","The 39th Annual Academy Awards",0,"1967","\N","\N","News"
"گیجی (فیلم)","Q104850241","tt11242744",NA,NA,NA,NA,NA,NA,NA,NA,NA
"سی‌امین دوره جوایز اسکار","Q684095","tt0343334","not exact match","tvSpecial","The 30th Annual Academy Awards","Academy of Motion Picture Arts & Sciences 30th Annual Awards",0,"1958","\N","\N","Family"
"دخترخاله سارا","Q5178824","tt1731691",NA,NA,NA,NA,NA,NA,NA,NA,NA
"حق‌السکوت (فیلم ۱۹۸۱)","Q28726639","tt0083029","not exact match","movie","Santaj","Santaj",0,"1981","\N","96","Comedy,Thriller"
"جاناتان لوین","Q1320930","tt0488889","not exact match","short","Love Bytes","Love Bytes",0,"2005","\N","\N","Comedy,Documentary,Short"
"نماهنگ آشوب","Q56367466","tt8440090","not exact match","movie","Chaos","Ashoob",0,"2015","\N","\N","Music"
"سی و سومین دوره جوایز اسکار","Q917071","tt0324953","not exact match","tvSpecial","The 33rd Annual Academy Awards","33rd Annual Academy Awards Presentation",0,"1961","\N","\N","Family"
"دختری در میان اتاق (فیلم کوتاه)","Q46246265","tt6145582","not exact match","short","A Girl in the Room","A Girl in the Room",0,"2016","\N","27","Comedy,Drama,Short"
"لوئیجی کارپنتیری","Q1399324","tt0139527",NA,NA,NA,NA,NA,NA,NA,NA,NA
"جسو گارسیا","Q3084485","tt0443650","not exact match","movie","Spiritual Warriors","Spiritual Warriors",0,"2007","\N","120","Adventure,Sci-Fi"
"ماچئی دیچر","Q11765318","tt0215166","not exact match","tvMovie","Le secret du petit milliard","Le secret du petit milliard",0,"1992","\N","87","\N"
"زندگی رازآلود لی‌لی پونز","Q96409596","tt12229810","not exact match","tvSeries","The Secret Life of Lele Pons","The Secret Life of Lele Pons",0,"2020","\N","\N","Documentary,Reality-TV"
"ارومیلا بات","Q15930605","tt0080330","not exact match","tvMovie","Act of God","Act of God",0,"1980","\N","25","Documentary"
"فهرست فیلم‌های آوانگارد دهه ۱۹۵۰","Q17003457","tt3309020","not exact match","short","Orchard Street","Orchard Street",0,"1955","\N","12","Documentary,Short"
"Star Wreck","Q1992234","tt2367670","not exact match","movie","Star Wreck 2pi: Full Twist, Now!","Star Wreck 2pi: Full Twist, Now!",0,"2012","\N","53","Comedy,Sci-Fi"
"Työnimi","Q1170216","tt2396545","not exact match","movie","Juhannustyttö","Juhannustyttö",0,"2016","\N","\N","Drama"
"Uneton48","Q11899521","tt4844974","not exact match","movie","Night Goes Long","Night Goes Long",0,"2015","\N","\N","Drama"
"Zone of the Enders","Q2711870","tt0264208","match","videoGame","Zone of the Enders","Zone of the Enders Z.O.E",0,"2001","\N","\N","Action,Adventure,Drama"
"Bubbling Boilers","Q24868698","tt5936594","not exact match","short","Thomas & Friends: Bubbling Boilers","Thomas & Friends: Bubbling Boilers",0,"2016","\N","10","Animation,Short"
"Clara Bow’n filmografia","Q5125951","tt2619826","not exact match","tvMovie","Clara Bow: Hollywood's Lost Screen Goddess","Clara Bow: Hollywood's Lost Screen Goddess",0,"2012","\N","59","Documentary"
"Virginie Efira","Q3560737","tt26254712",NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Bond","Q2009573","tt0508383","not exact match","tvEpisode","Diamonds Aren't Forever","Diamonds Aren't Forever",0,"1989","\N","30","Crime,Drama,Mystery"
"Bollywood","Q93196","tt0156186","not exact match","short","The Wrestlers","The Wrestlers",0,"1899","\N","\N","Short"
"Barbara Beretta","Q2883903","tt2826340","not exact match","short","Beretta, derrière la voix","Beretta, derrière la voix",0,"2013","\N","26","Documentary,Short"
"Film de science-fiction","Q471839","tt14113658","not exact match","tvMovie","Discovering Sci Fi on Film","Discovering Sci Fi on Film",0,"2020","\N","\N","Documentary,Sci-Fi"
"Filmographie de Charlie Chaplin","Q1152989","tt1806765","not exact match","short","All at Sea","All at Sea",0,"1933","\N","18","Short"
"Pirates of the Caribbean","Q1713564","tt0301201","not exact match","tvEpisode","From the Pirates of the Caribbean to the World of Tomorrow","From the Pirates of the Caribbean to the World of Tomorrow",0,"1968","\N","18","Adventure,Drama,Family"
"Filmographie de Jean-Luc Godard","Q4384703","tt1629282","not exact match","movie","Godard: Love and Poetry","Godard, l'amour, la poésie",0,"2007","\N","53","Documentary"
"Pornographie transgenre","Q7835362","tt5470734","not exact match","movie","She-Male Encounters","She-Male Encounters",1,"1981","\N","60","Adult"
"Film d'espionnage","Q2297927","tt0458876","not exact match","short","O.H.M.S.","O.H.M.S.",0,"1913","\N","\N","Crime,Short"
"The Rivals of Amziah King","Q122585845","tt27706593","match","movie","The Rivals of Amziah King","The Rivals of Amziah King",0,"\N","\N","\N","Crime,Thriller"
"Marc François (acteur)","Q3288038","tt0498901","not exact match","tvMovie","Le coeur cambriolé","Le coeur cambriolé",0,"1986","\N","90","\N"
"Attack on Titan (film, 2022)","Q118187296","tt22408766","not exact match","movie","Attack on Titan","Attack on Titan",0,"2022","\N","91","Action,Adventure,Sci-Fi"
"Animation de papiers découpés","Q2291325","tt0471239","not exact match","video","Lotte Reiniger: Homage to the Inventor of the Silhouette Film","Lotte Reiniger: Homage to the Inventor of the Silhouette Film",0,"1999","\N","60","Biography,Documentary"
"Jonathan Musset","Q122750955","tt2049530","not exact match","short","Russian Sandglass","Russian Sandglass",0,"2011","\N","9","Action,Mystery,Sci-Fi"
"Animation de silhouettes","Q2850055","tt0471239","not exact match","video","Lotte Reiniger: Homage to the Inventor of the Silhouette Film","Lotte Reiniger: Homage to the Inventor of the Silhouette Film",0,"1999","\N","60","Biography,Documentary"
"Disney Media Networks","Q3030447","tt0066387","not exact match","tvMovie","Smoke","Smoke",0,"1970","\N","89","Adventure,Drama,Family"
"BelAmi","Q624656","tt0396083","not exact match","video","Just for Fun","Just for Fun",1,"2003","\N","150","Adult"
"Tomorrowland","Q2804265","tt0301201","not exact match","tvEpisode","From the Pirates of the Caribbean to the World of Tomorrow","From the Pirates of the Caribbean to the World of Tomorrow",0,"1968","\N","18","Adventure,Drama,Family"
"Disney Consumer Products","Q3030410","tt0908291","not exact match","tvEpisode","Operation Undersea","Operation Undersea",0,"1954","\N","60","Adventure,Drama,Family"
"Quelque chose a changé","Q109042467","tt7871152","match","tvMovie","Quelque chose a changé","Quelque chose a changé",0,"2017","\N","87","Comedy"
"Noël à tous les étages","Q109255588","tt14142950","not exact match","movie","Christmas Next Door","Noël à tous les étages",0,"2021","\N","98","Comedy,Drama,Romance"
"Filmographie de Robert Duvall","Q17088702","tt0691467","not exact match","tvEpisode","The Killing Scene","The Killing Scene",0,"1968","\N","60","Drama"
"Adastra films","Q2823848","tt4880576","not exact match","short","H recherche F","H recherche F",0,"2015","\N","12","Animation,Comedy,Romance"
"Dog’s Life","Q122929350","tt4781266","not exact match","short","Suns dienos","Suns dienos",0,"2013","\N","24","Drama,Short"
"Chernobyl: Chronicle of Difficult Weeks","Q118187311","tt7154796","match","movie","Chernobyl: Chronicle of Difficult Weeks","Chernobyl. Khronika trudnykh nedel",0,"1987","\N","54","Documentary"
"Sur place (film)","Q122412887","tt1018001","not exact match","short","Sur place","Sur place",0,"2007","\N","30","Documentary,Short"
"New Orleans Square","Q2917588","tt0301201","not exact match","tvEpisode","From the Pirates of the Caribbean to the World of Tomorrow","From the Pirates of the Caribbean to the World of Tomorrow",0,"1968","\N","18","Adventure,Drama,Family"
"La Sœur de trop","Q118187386","tt14714486","not exact match","tvMovie","Triple Threat","Framed by My Sister",0,"2022","\N","86","Thriller"
"Solomon's Perjury","Q17223877","tt0003421614",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dessine-moi une planète","Q118187326","tt21630186","match","movie","Dessine-moi une planète","Dessine-moi une planète",0,"2022","\N","70","Drama"
"Le Sexe faible (pièce)","Q3227146","tt0423159","not exact match","tvMovie","Le sexe faible","Le sexe faible",0,"1984","\N","\N","\N"
"Batman : D'ombre et de lumière","Q2891511","tt1458796","not exact match","tvSeries","Batman: Black and White","Batman: Black and White",0,"2008","2009","\N","Animation,Crime,Drama"
"Patrick Sarfati","Q99456906","tt25427604","not exact match","movie","An Afternoon with Patrick Sarfati","Un après-midi chez Patrick Sarfati",0,"2023","\N","75","Documentary"
"Cinéma espérantophone","Q2347373","tt0273921","not exact match","short","Optocht van voorstanders van het Eperanto","Optocht van voorstanders van het Eperanto",0,"1911","\N","\N","Documentary,Short"
"Chhollywood","Q17050593","tt0277162","not exact match","movie","Mor Chhainha Bhuinya","Mor Chhainha Bhuinya",0,"2000","\N","\N","Drama,Family"
"Hubert Selby Jr, deux ou trois choses","Q60849742","tt0236311","not exact match","movie","Hubert Selby Jr., 2 ou 3 choses...","Hubert Selby Jr., 2 ou 3 choses...",0,"2000","\N","53","Documentary"
"(Fool Time) Job","Q86679255","tt6984768","match","short","(Fool Time) Job","(Fool Time) Job",0,"2017","\N","17","Animation,Drama,Short"
"L.A. Rebellion","Q6456231","tt0206284","not exact match","short","Several Friends","Several Friends",0,"1969","\N","21","Short"
"Cinéma érythréen","Q76418812","tt1570633","not exact match","movie","Milenu","Milenu",0,"2009","\N","102","Drama"
"Une vraie petite famille","Q86662098","tt0472958","not exact match","tvSeries","Just Like Family","Just Like Family",0,"1989","\N","\N","Comedy,Family"
"The Car Man","Q3520202","tt0303823","match","tvMovie","The Car Man","The Car Man",0,"2001","\N","90","Drama,Romance"
"Chaplin à Bali","Q120416119","tt5738574","not exact match","movie","Chaplin in Bali","Chaplin à Bali",0,"2017","\N","80","Documentary"
"Midnight Globe","Q122707488","tt3006946","match","movie","Midnight Globe","Midnight Globe",0,"2013","\N","93","Thriller"
"Hulk Blood Tapes","Q118187354","tt4442126","match","movie","Hulk Blood Tapes","Hulk Blood Tapes",0,"2015","\N","79","Horror"
"Terminal Force","Q118187491","tt0100764","match","movie","Terminal Force","Terminal Force",0,"1989","\N","84","Action,Drama"
"Last Duel (homonymie)","Q29053447","tt001139431",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pirate, the Witch and the Weirdo","Q118187501","tt7279052","match","movie","The Pirate, the Witch and the Weirdo","The Pirate, the Witch and the Weirdo",0,"2019","\N","\N","Fantasy"
"Incident at Barstow","Q118187356","tt1920969","match","movie","Incident at Barstow","Incident at Barstow",0,"2011","\N","75","Thriller"
"I'm Twenty Something","Q122496173","tt4197682","not exact match","short","Man Dvim Keli","Man Dvim Keli",0,"2014","\N","20","Comedy,Short"
"Rapid Assault","Q118187471","tt0119982","match","video","Rapid Assault","Rapid Assault",0,"1997","\N","90","Action,Thriller"
"I was Max","Q121298126","tt14111660","not exact match","short","I Was Max","I Was Max",0,"2022","\N","21","Drama,Short"
"ניקולס גאליצין","Q90902600","tt3064356","not exact match","movie","The Beat Beneath My Feet","The Beat Beneath My Feet",0,"2014","\N","91","Comedy,Drama,Family"
"ג'ונתן פרייס","Q312702","tt0179846","not exact match","tvSpecial","Hey, Mr. Producer! The Musical World of Cameron Mackintosh","Hey, Mr. Producer! The Musical World of Cameron Mackintosh",0,"1998","\N","164","Biography,Documentary,Music"
"מיה קירשנר","Q231660","tt13342190","not exact match","tvMovie","Love, Lights, Hanukkah!","Love, Lights, Hanukkah!",0,"2020","\N","84","Drama,Romance"
"אנחנו המהפכה","Q101805263","tt14649040","not exact match","tvMovie","Anachnu HaMahapecha","Anachnu HaMahapecha",0,"2020","\N","61","Drama,Romance"
"קאלום טרנר","Q18162913","tt1827592","not exact match","movie","Zero","Zero",0,"2011","\N","\N","Drama"
"וואנג דונג-היוק","Q3143548","tt0431270","not exact match","short","Miracle Mile","Miracle Mile",0,"2004","\N","18","Short"
"ג'ון וילסון","Q104840404","tt5014402","not exact match","short","Temporary Color","Temporary Color",0,"2016","\N","14","Comedy,Crime,Documentary"
"גילדת שחקני המסך","Q1141037","tt0343337","not exact match","tvSpecial","The 32nd Annual Primetime Emmy Awards","The 32nd Annual Primetime Emmy Awards",0,"1980","\N","180","\N"
"פיליפה סו","Q20974033","tt10026186","not exact match","tvEpisode","Legit Bad Day","Legit Bad Day",0,"2019","\N","43","Drama"
"קיינן לונסדייל","Q17523865","tt8893294","not exact match","tvEpisode","Snatch Game of Love","Snatch Game of Love",0,"2018","\N","63","Game-Show,Reality-TV"
"גייטס מק'פאדן","Q253764","tt1211978","not exact match","tvSeries","Beyond the Groove","Beyond the Groove",0,"1990","1990","25","Music"
"גמביט (סרט שבוטל)","Q42307675","tt3729594",NA,NA,NA,NA,NA,NA,NA,NA,NA
"קריס מרשל","Q706843","tt2124180","not exact match","movie","Sparks and Embers","Sparks and Embers",0,"2015","\N","88","Comedy,Drama,Romance"
"גרג ססטרו","Q3776439","tt9600964","not exact match","movie","Lukewarm Christian","Lukewarm Christian",0,"2019","\N","90","Adventure,Comedy"
"מייטי מאוס","Q49677","tt0484999","not exact match","movie","Mighty Mouse","Mighty Mouse",0,"\N","\N","\N","Action,Adventure,Animation"
"דימיטרי לאונידס","Q562925","tt0930253","not exact match","tvEpisode","Episode #24.1","Episode #24.1",0,"2001","\N","\N","Comedy,Drama,Family"
"בנז'מן וואזן","Q65321833","tt7293250","not exact match","short","Peru","Peru",0,"2017","\N","16","Comedy,Short"
"טל גולדברג","Q16128762","tt10681672","not exact match","tvSeries","Runaway","Run",0,"2019","\N","20","Mystery,Thriller"
"ענקי","Q15545275","tt2948358",NA,NA,NA,NA,NA,NA,NA,NA,NA
"פרסי בחירת הנוער 2004","Q1773587","tt0446047","not exact match","tvSpecial","The Teen Choice Awards 2004","The Teen Choice Awards 2004",0,"2004","\N","\N","\N"
"פרסי בחירת הנוער 2005","Q1805042","tt0498257","not exact match","tvSpecial","The Teen Choice Awards 2005","The Teen Choice Awards 2005",0,"2005","\N","\N","Family"
"מורג הוד","Q3862822","tt0156061","not exact match","tvSeries","A Sense of Guilt","A Sense of Guilt",0,"1990","\N","50","Drama"
"הלשון האבודה של העגורנים","Q2906863","tt0102337","not exact match","tvEpisode","The Lost Language of Cranes","The Lost Language of Cranes",0,"1991","\N","87","Music,Musical"
"ארון שוורץ (שחקן)","Q4662413","tt1483070","not exact match","tvSeries","Chasing Dorota","Chasing Dorota",0,"2009","\N","3","Drama"
"בריאן דיקון","Q912067","tt0161148","not exact match","tvSeries","Good Girl","Good Girl",0,"1974","\N","60","Drama"
"אליוט לסטר","Q1332329","tt5513450",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Áramótaskaup 2013","Q65335838","tt11618136","match","tvEpisode","Áramótaskaup 2013","Áramótaskaup 2013",0,"2013","\N","\N","\N"
"Sigourney Weaver","Q102124","tt0000244","not exact match","short","Erreur judiciaire","Erreur judiciaire",0,"1899","\N","\N","Short"
"Jerry Bruckheimer","Q217037","tt0777239","not exact match","tvMovie","The Legacy","The Legacy",0,"2002","\N","60","Drama,Sci-Fi"
"Fiðrað kókaín","Q16423893","tt1629271","not exact match","movie","Feathered Cocaine","Feathered Cocaine",0,"2010","\N","80","Documentary"
"Woody Allen","Q25089","tt0863416","match","tvEpisode","Woody Allen","Woody Allen",0,"1971","\N","66","Music,Talk-Show"
"Steven Spielberg","Q8877","tt0114330","not exact match","tvEpisode","AFI Life Achievement Award: A Tribute to Steven Spielberg","A Tribute to Steven Spielberg",0,"1995","\N","\N","\N"
"Ritorno al futuro (trilogia)","Q91558","tt0162636","not exact match","tvShort","The Secrets of the Back to the Future Trilogy","The Secrets of the Back to the Future Trilogy",0,"1990","\N","21","Documentary,Short"
"Roberto Rossellini","Q53003","tt9289168","not exact match","tvMovie","Le Psychodrame","Le Psychodrame",0,"1956","\N","\N","Drama"
"Pierce Brosnan","Q81520","tt0828434","not exact match","video","Premiere Bond: Opening Nights","Premiere Bond: Opening Nights",0,"2006","\N","13","Documentary,Short"
"Stefania Sandrelli","Q238547","tt0221364","not exact match","tvMovie","Lulù","Lulù",0,"1980","\N","\N","\N"
"Idris Elba","Q342604","tt8220330","not exact match","tvMiniSeries","Idris Elba: Fighter","Idris Elba: Fighter",0,"2017","2017","132","Reality-TV"
"Nicholas Galitzine (attore)","Q90902600","tt3064356","not exact match","movie","The Beat Beneath My Feet","The Beat Beneath My Feet",0,"2014","\N","91","Comedy,Drama,Family"
"Jerry Calà","Q61831","tt26426184","not exact match","movie","Chi ha rapito Jerry Calà?","Chi ha rapito Jerry Calà?",0,"\N","\N","\N","Comedy"
"Mark Ruffalo","Q41422","tt1013112","match","tvEpisode","Mark Ruffalo","Mark Ruffalo",0,"2007","\N","\N","Talk-Show"
"Jacob Tremblay","Q20965633","tt2785022","not exact match","tvEpisode","Mr. Finale: Part 1","Mr. Finale: Part 1",0,"2013","\N","23","Comedy,Family,Fantasy"
"Francesca Dellera","Q1748619","tt0228090","not exact match","tvMovie","Isabella the Liar","La bugiarda",0,"1989","\N","180","Comedy"
"Dario Penne","Q56280769","tt5580744","not exact match","short","Blocco E, IV Piano","Blocco E, IV Piano",0,"2016","\N","\N","Animation,Drama,Short"
"Alfonso Cuarón","Q28028","tt6304596","not exact match","tvSeries","The Bet","The Bet",0,"2016","2020","7","Biography,Comedy,Short"
"Domenico Procacci","Q3034759","tt6304596","not exact match","tvSeries","The Bet","The Bet",0,"2016","2020","7","Biography,Comedy,Short"
"Robert Downey Sr.","Q587102","tt0473254","not exact match","movie","Rittenhouse Square","Rittenhouse Square",0,"2005","\N","92","Documentary"
"Lorenzo De Angelis","Q3836931","tt25729440","not exact match","tvEpisode","Restare o partire?","Restare o partire?",0,"2023","\N","\N","Comedy,Drama,Mystery"
"Brigitta Bulgari","Q433481","tt0445365","not exact match","video","Fashion","Fashion",1,"2003","\N","133","Adult,Drama,Romance"
"Marilù Tolo","Q460710","tt0777284","not exact match","video","Superman: Screen Tests","Superman: Screen Tests",0,"2001","\N","22","Documentary,Short"
"James e Oliver Phelps","Q343954","tt1434776","not exact match","tvEpisode","Episode #3.5","Episode #3.5",0,"2009","\N","45","Comedy,Drama"
"Regina King","Q234544","tt0455301","not exact match","tvSpecial","36th NAACP Image Awards","36th NAACP Image Awards",0,"2005","\N","120","\N"
"Robert Davi","Q443317","tt4503270",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa Fumetto","Q3941248","tt0069359","not exact match","movie","Les tentations de Marianne","Les tentations de Marianne",0,"1973","\N","90","Drama"
"Alexa Nikolas","Q234419","tt5795266",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nacho Vidal","Q1255380","tt1130836","not exact match","short","Impávido","Impávido",0,"2007","\N","22","Short"
"Syren De Mer","Q19906314","tt4877774","not exact match","tvEpisode","Hot MILF Teacher with Giant Tits Gangbanged by Students! Double Anal!","Hot MILF Teacher with Giant Tits Gangbanged by Students! Double Anal!",1,"2012","\N","\N","Adult"
"Francis Capra","Q538159","tt6664076",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dracula nella cinematografia","Q104866182","tt1778371","not exact match","short","Vampire","Vampire",0,"1963","\N","10","Drama,Horror,Short"
"Ryan Guzman","Q555738","tt2378385","not exact match","short","72 Hours with Empire","72 Hours with Empire",0,"2012","\N","12","Comedy,Short,Sport"
"Tutta un'altra vita","Q65126689","tt9050378","match","movie","Tutta un'altra vita","Tutta un'altra vita",0,"2019","\N","103","Comedy"
"Ernesto Lama","Q21208595","tt2145888","not exact match","tvMovie","Sabato, domenica e lunedì","Sabato, domenica e lunedì",0,"2012","\N","\N","\N"
"Natalie Morales","Q457106","tt1259221","not exact match","tvMovie","Quitters","Quitters",0,"2008","\N","22","Comedy"
"Bernadette Peters","Q231391","tt0595367","not exact match","tvMovie","The Christmas Tree","The Christmas Tree",0,"1958","\N","\N","Drama"
"Lucia Modugno","Q3838465","tt20215742","not exact match","tvSeries","Home Sweet Rome!","Home Sweet Rome",0,"2023","\N","\N","Comedy,Family,Musical"
"Rosalia Maggio","Q3941303","tt9234882","not exact match","tvSeries","Giocare il sogno, filmare il gioco","Giocare il sogno, filmare il gioco",0,"1990","\N","\N","Drama"
"Film basati su videogiochi","Q1459147","tt0365118",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgina Spelvin","Q272027","tt0096876","not exact match","movie","Bad Blood","Bad Blood",0,"1988","\N","104","Drama,Thriller"
"Harman e Ising","Q983477","tt1129366","not exact match","tvShort","The Adventures of Sir Gee Whiz on the Other Side of the Moon","The Adventures of Sir Gee Whiz on the Other Side of the Moon",0,"1960","\N","5","Animation,Short"
"Michael Gothard","Q441242","tt0060643","not exact match","tvEpisode","The Machine Stops","The Machine Stops",0,"1966","\N","50","Drama,Horror,Sci-Fi"
"Bruce Venture","Q15710321","tt3246422","not exact match","video","Bruce Venture Has a Big Dick","Bruce Venture Has a Big Dick",1,"2013","\N","\N","Adult"
"John Wilson (regista)","Q104840404","tt5014402","not exact match","short","Temporary Color","Temporary Color",0,"2016","\N","14","Comedy,Crime,Documentary"
"Giulia Di Quilio","Q3769258","tt2256385","not exact match","tvSeries","Lady Burlesque","Lady Burlesque",0,"2011","\N","\N","Reality-TV"
"Paola Della Pasqua","Q3893552","tt9063722","not exact match","tvMovie","A piacer vostro","A piacer vostro",0,"1992","\N","177","Comedy"
"Iris Berben","Q71662","tt0441723","not exact match","tvMiniSeries","Die Patriarchin","Die Patriarchin",0,"2005","\N","270","Drama"
"Django (serie)","Q3954442","tt3313446","not exact match","movie","Django Lives!","Django Lives!",0,"\N","\N","\N","Action,Crime,Drama"
"Kris Evans","Q1170810","tt2171777","not exact match","video","BelAmi 3D","BelAmi 3D",1,"2011","\N","76","Adult"
"Paul Blackthorne","Q545016","tt0178866","not exact match","movie","Rhythm & Blues","Rhythm & Blues",0,"2000","\N","98","Comedy"
"Oliver! (musical)","Q1483458","tt0724669","not exact match","tvEpisode","Meet The Beatles","Meet The Beatles",0,"1964","\N","60","Music,Talk-Show"
"Mike Lane","Q6847607","tt0712916","not exact match","tvEpisode","The Hunted","The Hunted",0,"1958","\N","60","Western"
"Jason James Richter","Q711078","tt6664076",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jewel De'Nyle","Q268165","tt0428703","not exact match","video","Last Movie","Last Movie",1,"2004","\N","138","Adult"
"Kimberly Peirce","Q73761","tt0228507","not exact match","short","The Last Good Breath","The Last Good Breath",0,"1994","\N","15","Drama,Short"
"Marco Amenta","Q3290042","tt3693106","not exact match","tvEpisode","Berlusconi, le roi Silvio","Berlusconi, le roi Silvio",0,"2014","\N","52","Documentary"
"The Clone Wars Legacy","Q18415455","tt4073900","not exact match","tvEpisode","In Search of the Crystal","In Search of the Crystal",0,"2014","\N","\N","Action,Adventure,Animation"
"Episodi di Agente speciale (quarta stagione)","Q3468836","tt0516884","not exact match","tvEpisode","Silent Dust","Silent Dust",0,"1965","\N","52","Action,Comedy,Crime"
"CAM (casa discografica)","Q3648478","tt10870396","not exact match","movie","Even... Unknown Terror","Even... Unknown Terror",0,"1982","\N","\N","Drama"
"Mina Sundwall","Q52086537","tt2512724","not exact match","tvEpisode","Victoria Rowell/Dot Jones/Carlos Mencia/Linda Blair","Victoria Rowell/Dot Jones/Carlos Mencia/Linda Blair",0,"2012","\N","\N","Documentary"
"Bobby Jordan","Q4935226","tt0717156","not exact match","tvEpisode","Jesse James","Jesse James",0,"1957","\N","30","Western"
"Melissa Hill","Q447395","tt3021798","not exact match","video","Beyond Fucked: A Zombie Odyssey","Beyond Fucked: A Zombie Odyssey",1,"2013","\N","118","Adult,Horror"
"The Executioners (film 2018)","Q119777998","tt6185998","not exact match","movie","The Executioners","The Executioners",0,"2018","\N","93","Horror,Thriller"
"Britt Lomond","Q1029359","tt0556758","not exact match","tvEpisode","The Baron of Arizona","The Baron of Arizona",0,"1956","\N","30","Western"
"Stefano Lorenzi (regista)","Q90334702","tt0478421","not exact match","short","Nunca máis","Nunca máis",0,"2003","\N","40","Documentary,Short"
"Ed Oxenbould","Q18391895","tt2095511","not exact match","tvEpisode","Jerusalem Revisited","Jerusalem Revisited",0,"2011","\N","43","Action,Crime,Drama"
"Gattlin Griffith","Q3099305","tt0298516","not exact match","movie","Reckoning","Reckoning",0,"2002","\N","110","Drama,Western"
"Donatella Baglivo","Q3713688","tt22494142","not exact match","short","D O M","D O M",0,"2021","\N","15","Drama,Short"
"Due cuori e un tesoro","Q110455689","tt10768278","not exact match","tvMovie","Christmas Scavenger Hunt","Christmas Scavenger Hunt",0,"2019","\N","82","Comedy,Drama,Romance"
"Wakaliwood","Q20002690","tt2394087","not exact match","movie","Wakaliwood: The Documentary","Wakaliwood: The Documentary",0,"2012","\N","69","Documentary"
"Sophie Hyde","Q62600716","tt6420462","not exact match","tvMiniSeries","F*%#Ing Adelaide","Fucking Adelaide",0,"2017","2017","\N","Comedy,Drama"
"Fosca (film)","Q48805847","tt1880202","not exact match","tvMovie","Fosca","Fosca",0,"1981","\N","\N","Drama"
"Roar Uthaug","Q1780665","tt0320356","not exact match","short","Regjeringen Martin","Regjeringen Martin",0,"2002","\N","28","Adventure,Comedy,Fantasy"
"Episodi di Dragons (terza stagione)","Q25409490","tt4816058","not exact match","tvSeries","Dragons: Race to the Edge","Dragons: Race to the Edge",0,"2015","2018","22","Action,Adventure,Animation"
"Gail Patrick","Q289991","tt0039943","not exact match","short","Unusual Occupations","Unusual Occupations",0,"1947","\N","11","Documentary,Short"
"Jessica Bruder","Q63098703","tt7907666","not exact match","short","CamperForce","CamperForce",0,"2017","\N","\N","Documentary,Short"
"James A. FitzPatrick","Q6128098","tt0210775","not exact match","short","John Greenleaf Whittier","John Greenleaf Whittier",0,"1921","\N","10","Biography,Documentary,Short"
