"wikibase_item","PersonID","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"Q100239","nm2384850","Lizzie Maudrik","\N","\N","miscellaneous","tt0032255,tt0035955"
"Q1526170","nm0758650","Count Ludi Salm","\N","\N","actor","tt0013233,tt0012192,tt0013700"
"Q2519623","nm2532936","Simon Diaz","\N","\N","soundtrack,actor","tt3470600,tt1213149,tt0465872,tt0382411"
"Q1634381","nm1489931","Inês Santos","1978","\N","actress,soundtrack","tt0488445,tt0495670,tt1593566,tt1247647"
"Q118271209","nm4745308","Franco P. Tettamanti","1975","\N","cinematographer,director,writer","tt27510689,tt1318704"
"Q3034863","nm0063976","Sarah Beardsall","\N","\N","casting_director,producer,casting_department","tt0120783,tt0134119,tt0109831,tt0120053"
"Q112232673","nm1856742","Florian Kehrer","\N","\N","producer,miscellaneous,director","tt1861808,tt0452063,tt0488450,tt1650526"
"Q58400","nm1518619","Sofie Larsson","1990","\N","actress","tt0391312,tt0445507,tt0893597"
"Q1618125","nm0761573","Hilary St George Saunders","1898","1951","writer","tt0046161,tt0038109"
"Q3503711","nm0420623","Josef Jelínek","1949","\N","costume_designer,actor","tt0107301,tt0104668,tt0138788,tt0303652"
"Q792997","nm10827884","Dániel Benkõ","1947","2019","composer,music_department","tt19850804,tt10603118,tt1045244,tt7974700"
"Q741804","nm0936617","Doris Wiss","1929","2015","actress","tt0050051,tt0052485,tt0048906,tt0043228"
"Q1157699","nm2045597","Rudolf Kölling","1904","1970","miscellaneous,actor","tt0031092,tt0033633,tt0031399,tt0032673"
"Q3892884","nm0601133","Don Moore","1904","1986","writer,miscellaneous","tt0045437,tt0041014,tt0051311,tt0044259"
"Q101615214","nm2278103","Kardosch-Sänger","\N","\N","actor","tt0024208,tt0256427,tt0227404"
"Q538320","nm0302239","Irène Galitzine","1916","2006","art_department,casting_department,production_designer","tt0249380,tt0101318,tt0118201,tt0073335"
"Q200512","nm0135854","Francesca Caracciolo","\N","\N","actress","tt0209923"
"Q4678916","nm1745596","Carmel Cullen","\N","\N","actress","tt0074263,tt0071661,tt0273397,tt0130967"
"Q2279206","nm3627980","Shiwon Miura","\N","\N","writer","tt1517476,tt6030996,tt2964120,tt2315226"
