"title","wikibase_item","Distributor"
"دوم 2","Q755186","distributor = جي تي إنتراكتيف <br /> فيرجن إنتراكتيف <small>[[أوروبا]]</small> "
"القصة الأصلية (فيلم)","Q171365","distributor = [[نيو لاين سينما]] "
"قبلات مسروقة (فيلم فرنسي)","Q324933","distributor = [[يونايتد آرتيست]] "
"ولفينشتاين (لعبة فيديو 2009)","Q1165728","distributor = [[أكتيفجن بليزارد]] "
"ماري من اسكتلندا (فيلم)","Q2154202","distributor = [[آر كي أو بيكتشرز]] "
"كون (لعبة فيديو 2004)","Q2655757","distributor = {{إصدار ألعاب/إنجليزي"
"دراغون بول زد: احترق: المعركة الحامية - المعركة العنيفة - المعركة الحادة","Q543064","distributor = [[شركة توي]] "
"تويستد ميتال بلاك","Q2978434","distributor = |director = [[ديفيد جاف]] "
"أبزو (لعبة فيديو)","Q20899382","distributor = | director = مات نافا "
"إعدام ماري ستيوارت (فيلم 1895)","Q1789171","distributor = [[شركة إديسون للتصنيع]] "
"فهرنهايت 451 (1966 فيلم)","Q261546","distributor = [[يونيفرسال بيكشرز]] "
"أليس في بلاد العجائب (فيلم 1915)","Q2302672","distributor = [[شركة صناعة الأفلام الأمريكية]]<br>[[شركة نونببريل للأفلام الروائية]] "
"نصف شمس صفراء (فيلم)","Q16556678","distributor = Metro International<br/>Leap Frog Films<br/>FilmOne Distribution<br/>Monterey Media Inc.<ref name=""deadline.com"">{{استشهاد ويب"
"أرواح الموتى","Q18415","distributor = {{قائمة بسيطة"
"كينغدوم هارتس (لعبة فيديو)","Q225912","distributor = [[ديزني إنترأكتيف ستوديوز"
"مقدار كا سكندر","Q1549137","distributor = براكاش ميهرا للإنتاج "
"ليتل بغ بلانت 2","Q1988886","distributor = | designer = "
"الفهود السود: طليعة الثورة (فيلم)","Q19363559","distributor = [[بي بي إس]] "
"نيد فور سبيد: ذا رن","Q281246","distributor = | composer = [[برايان تايلر]]<br/>Mick Gordon "
"الشيطان (فيلم 2017)","Q28180266","distributor = Dimension Pictures "
"الحصاد (فيلم)","Q12124710","distributor = | released = 1993 "
"هي كل ذلك وأكثر","Q464584","distributor = [[ميرماكس]] "
"الإدمان (فيلم 1995)","Q2521217","distributor = [[أفلام أكتوبر]] "
"إعادة التنشيط","Q1537343","distributor = [[Empire International Pictures]] "
"ترويض النمرة (فيلم 1967)","Q1198059","distributor = [[كولومبيا بيكتشرز]] "
"مجد الصباح (فيلم 2010)","Q856602","distributor = [[باراماونت بيكتشرز]] "
"ترويض النمرة (فيلم 1929)","Q1056892","distributor = [[يونايتد آرتيست]] "
"نهاية اللعبة (فيلم)","Q1340430","distributor = تارغيت إنترتاينمنت "
"وردة بغداد","Q3212421","distributor = | released =22 كانون أول (ديسمبر) 1949 ([[البندقية]])<br />1952 (UK) "
"حرب النجوم غالاكتيكا (مسلسل تلفزيوني 1978)","Q2367132","distributor = [[NBCUniversal Television Distribution]] "
"الأمير الأخضر (فيلم)","Q18028465","distributor = | released = [[2014]] "
"رعاة وجزارون (فيلم)","Q22252040","distributor = | released = {{تاريخ صدور فيلم"
"كاوبوي بيباب: ذا موفي","Q1334287","distributor = سوني بيكتشرز انترتينمنت (اليابان)<!-- Do not add US distributor here, please; see WP:FILMDIST --> "
"بولوك (فيلم)","Q1466736","distributor = [[سوني بيكتشرز كلاسيك]] "
"4 شياطين","Q1797606","distributor = [[شركة فوكس فيلم]] "
"يوليوس قيصر (فيلم 1914)","Q3649980","distributor = Società Italiana Cines "
"في إتش إس 2","Q7906333","distributor = [[Magnet Releasing]] "
"هاري بوتر أند ذا فيلوسوفيرز ستون (لعبة فيديو)","Q719960","distributor = [[وارنر برذرز إنترآكتيف إنترتيمنت]] "
"من الجحيم (فيلم 1986)","Q1469755","distributor = [[Empire Pictures]] "
"فتاة أحلامك (فيلم)","Q766770","distributor = | released = {{تاريخ صدور فيلم"
"أليس في بلاد العجائب (فيلم 1903)","Q1852843","distributor = [[شركة موتوسكوب الأمريكية وبيوغراف]]<br>[[شركة إديسون للتصنيع]]<br>شركة كلين للبصريات "
"أوفسايد الخرطوم","Q72164557","distributor = | released = 13 فبراير 2019 "
"ليلة الشياطين 1988","Q953091","distributor = {{قائمة بسيطة"
"العداء (فيلم 2009)","Q2869484","distributor = | released = {{تاريخ صدور فيلم"
"الليل والضباب (فيلم 1956)","Q706373","distributor = Argos Films "
"داي هارد تريلوجي","Q761941","distributor = [[إلكترونيك آرتس]] <br/> توانيث سنتوري فوكس هوم إنترتنمنت "
"شمس سوداء","Q4921938","distributor = Japan Shock {{صغير"
"عزيزتي كليمنتين","Q370252","distributor = توينتيث سينشوري ستوديوز "
"تجربة فيلادلفيا الثانية","Q450073","distributor = [[تريمارك بيكشرز]] "
"انقلاب (فيلم 1984)","Q11019674","distributor = | runtime = "
"توكي بوكي","Q3310901","distributor = مؤسسة السينما العالمية "
"أعمى (فيلم)","Q4926674","distributor = | released = {{تاريخ صدور فيلم"
"ابنة الظلام (فيلم 1990)","Q5227909","distributor = | budget = "
"إفريقيا متحدة (فيلم)","Q4689603","distributor = [[وارنر برذرز بيكتشرز"
"رجل القمر","Q113353851","distributor = Mahua FunAge "
"عودة أرسين لوبين","Q3226385","distributor = [[لوس سينيبليكس للترفيه]] "
"مغامرة بوسايدون (فيلم 2005)","Q1196252","distributor = [[Buena Vista Home Entertainment]] "
"تويستد ميتال (لعبة فيديو 2012)","Q2982122","distributor = سوني كمبيوتر إنترتينمنت أميركا "
"هابر (فيلم)","Q5636705","distributor = | released = {{تاريخ صدور فيلم"
"بروجكت زيرو II: كريمسن باترفلاي","Q2289776","distributor = نينتندو <small>(وي)</small> "
"تويستد ميتال 3","Q1978200","distributor = [[سوني إنتراكتيف إنترتينمنت"
"شيفت 2 أنليشد","Q940134","distributor = |producer = Marcus Nilsson<br /> <small>([[منتج منفذ]]، [[إي إيه دايس"
"جحيم الجنة (فيلم)","Q18702209","distributor = Genesis Distribution "
"100 دولار (فيلم)","Q101245281","distributor = | released = يوليو 2012 (ناميبيا) "
"وداعا إفريقيا (فيلم)","Q383867","distributor = ريزولي {{صغير"
"الظلال (فيلم)","Q828260","distributor = | released = {{تاريخ صدور فيلم"
"زولو (فيلم 2013)","Q3576280","distributor = [[باثي (شركة أفلام)"
"نزينغا: ملكة أنغولا (فيلم)","Q22000269","distributor = | released = {{تاريخ صدور فيلم"
