"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Mark Ruffalo","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Geography.Regions.Americas.North_America|615|classification.ores.articletopic/Culture.Biography.Biography*|665|classification.ores.articletopic/Culture.Media.Films|926","Q41422","tt1013112","Mark Ruffalo","match",NA,NA
"Jacob Tremblay","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Biography.Biography*|803|classification.ores.articletopic/Culture.Media.Films|926","Q20965633","tt2785022","Mr. Finale: Part 1","not exact match",NA,NA
"Ashley Benson","classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Biography.Women|803|classification.ores.articletopic/Culture.Biography.Biography*|912|classification.ores.articletopic/Culture.Media.Films|955|classification.ores.articletopic/Geography.Regions.Americas.North_America|771","Q230609","tt2120120","Pixels","not exact match",NA,NA
"Gael García Bernal","classification.ores.articletopic/Culture.Biography.Biography*|692|classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Culture.Media.Media*|798","Q179576","tt0861689","Blindness","not exact match",NA,NA
"Francesca Dellera","classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Geography.Regions.Europe.Europe*|705|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|569|classification.ores.articletopic/Culture.Biography.Women|822|classification.ores.articletopic/Culture.Biography.Biography*|995|classification.ores.articletopic/Culture.Media.Films|705","Q1748619","tt0228090","Isabella the Liar","not exact match",NA,NA
"Michelle Rodriguez","classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Culture.Media.Media*|932|classification.ores.articletopic/Culture.Media.Films|941|classification.ores.articletopic/Culture.Biography.Women|743|classification.ores.articletopic/Geography.Regions.Americas.North_America|760","Q184219","tt1691016","Tropico de Sangre","not exact match",NA,NA
"Tim Robbins","classification.ores.articletopic/Geography.Regions.Americas.North_America|705|classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Media.Films|956|classification.ores.articletopic/Culture.Biography.Biography*|760|recommendation.image_section/exists|1","Q95048","tt0465451","Embedded","not exact match",NA,NA
"Dario Penne","classification.ores.articletopic/Culture.Media.Media*|945|classification.ores.articletopic/Culture.Media.Films|932","Q56280769","tt5580744","Blocco E, IV Piano","not exact match",NA,NA
"Ethan Cutkosky","classification.ores.articletopic/Culture.Media.Films|766|classification.ores.articletopic/Culture.Biography.Biography*|988|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Geography.Regions.Americas.North_America|917","Q15069822","tt14674708","Going Places","not exact match",NA,NA
"Marco Mete","classification.ores.articletopic/Culture.Media.Media*|956|classification.ores.articletopic/Culture.Media.Films|938","Q3846286","tt0178639","Intolerance","not exact match",NA,NA
"Will Poulter","classification.ores.articletopic/Culture.Media.Films|831|classification.ores.articletopic/Culture.Biography.Biography*|945|classification.ores.articletopic/Culture.Media.Media*|924","Q1319882","tt1795702","Wild Bill","not exact match",NA,NA
"Manuel Ferrara","classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Films|998|recommendation.image_section/exists|1","Q715159","tt0337977","Hustlaz: Diary of a Pimp","not exact match",NA,NA
"Marlene Dietrich","classification.ores.articletopic/Culture.Biography.Biography*|974|classification.ores.articletopic/Culture.Media.Media*|979|classification.ores.articletopic/Culture.Media.Films|914","Q4612","tt0085905","Marlene","not exact match",NA,NA
