"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Massimo Troisi","classification.ores.articletopic/Culture.Media.Media*|724|classification.ores.articletopic/Culture.Biography.Biography*|826|recommendation.image_section/exists|1","Q53035","nm0873385","Massimo Troisi","match",NA,NA
"Mickey Rourke","classification.ores.articletopic/Culture.Media.Films|960|classification.ores.articletopic/Geography.Regions.Americas.North_America|637|classification.ores.articletopic/Culture.Media.Media*|969|classification.ores.articletopic/Culture.Biography.Biography*|771|recommendation.image_section/exists|1","Q178552","nm0000620","Mickey Rourke","match",NA,NA
"Zac Efron","classification.ores.articletopic/Culture.Media.Media*|978|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Films|884|classification.ores.articletopic/Geography.Regions.Americas.North_America|622","Q45229","nm1374980","Zac Efron","match",NA,NA
"Francesco Guccini","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|600|classification.ores.articletopic/Culture.Media.Media*|531|classification.ores.articletopic/Culture.Biography.Biography*|754|classification.ores.articletopic/Geography.Regions.Europe.Europe*|585","Q559529","nm0345577","Francesco Guccini","match",NA,NA
"Caitlyn Jenner","classification.ores.articletopic/Culture.Sports|622|classification.ores.articletopic/Geography.Regions.Americas.North_America|754|classification.ores.articletopic/Culture.Biography.Biography*|997|recommendation.image_section/exists|1","Q365144","nm0421063","Caitlyn Jenner","match",NA,NA
"Bee Gees","classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Music|999|classification.ores.articletopic/Culture.Biography.Biography*|793","Q133405","nm5790737","Barbara Gibb","not exact match",NA,NA
"Naomi Campbell","classification.ores.articletopic/Culture.Biography.Biography*|965|classification.ores.articletopic/Culture.Biography.Women|644","Q199369","nm0001984","Naomi Campbell","match",NA,NA
"The Jackal (gruppo)","classification.ores.articletopic/Culture.Media.Television|743|classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Culture.Biography.Biography*|793","Q97932906","nm6070296","Francesco Capaldo","not exact match",NA,NA
"Robert Pattinson","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Films|930|classification.ores.articletopic/Culture.Biography.Biography*|870|recommendation.image_section/exists|1","Q36767","nm0002339","Allen Coulter","not exact match",NA,NA
"Marilyn Manson","classification.ores.articletopic/Culture.Media.Music|835|classification.ores.articletopic/Culture.Biography.Biography*|754|classification.ores.articletopic/Culture.Media.Media*|968","Q186327","nm0001504","Marilyn Manson","match",NA,NA
