"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Ricky Nelson","classification.ores.articletopic/Geography.Regions.Americas.North_America|658|classification.ores.articletopic/Culture.Media.Media*|971|classification.ores.articletopic/Culture.Biography.Biography*|941|classification.ores.articletopic/Culture.Media.Music|982","Q303207","nm625699",NA,NA,"nm0625699",NA
"Göran Everdahl","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|985|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Geography.Regions.Europe.Europe*|972","Q5721240","nm3799134","Göran Everdahl","match",NA,NA
"Arne Imsen","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|976|classification.ores.articletopic/Culture.Biography.Biography*|907|classification.ores.articletopic/Geography.Regions.Europe.Europe*|904","Q5822950","nm10752588","Arne Imsen","match",NA,NA
"Joe Perry","classification.ores.articletopic/Culture.Biography.Biography*|802|classification.ores.articletopic/Geography.Regions.Americas.North America|691|classification.ores.articletopic/Culture.Media.Music|982|classification.ores.articletopic/Culture.Media.Media*|969","Q313378","nm0012613","Aerosmith","not exact match","nm0675128",NA
"Jeff Ahl","classification.ores.articletopic/Culture.Biography.Biography*|817|classification.ores.articletopic/Geography.Regions.Europe.Europe*|945|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|956","Q18237118","nm1071104","Jeff Ahl","match",NA,NA
"Scott McKenzie","classification.ores.articletopic/Geography.Regions.Americas.North America|554|classification.ores.articletopic/Culture.Media.Media*|954|classification.ores.articletopic/Culture.Media.Music|948|classification.ores.articletopic/Culture.Biography.Biography*|971","Q326281","nm571609",NA,NA,"nm0571609",NA
"Graham Norton","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|975|classification.ores.articletopic/Geography.Regions.Europe.Europe*|822|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Radio|644|classification.ores.articletopic/Culture.Biography.Biography*|936|classification.ores.articletopic/Culture.Media.Television|997|recommendation.link/exists|1","Q19154","nm636218",NA,NA,"nm0636218",NA
"Monica Zak","classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|924|classification.ores.articletopic/Geography.Regions.Europe.Europe*|877|classification.ores.articletopic/Culture.Biography.Women|554","Q514644","nm0952218","Monica Zak","match",NA,NA
"Grace Slick","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Biography.Biography*|963|classification.ores.articletopic/Geography.Regions.Americas.North_America|585|classification.ores.articletopic/Culture.Media.Music|994","Q229881","nm805801",NA,NA,"nm0805801",NA
"Måns Gahrton","classification.ores.articletopic/Geography.Regions.Europe.Europe*|947|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|988|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Culture.Literature|729","Q4571722","nm0301126","Måns Gahrton","match",NA,NA
"Katarina Blom","classification.ores.articletopic/Culture.Biography.Biography*|996|classification.ores.articletopic/Culture.Biography.Women|644","Q121464564","nm1316911","Katarina Blom","match",NA,NA
"Alfred Hitchcocks filmografi","classification.ores.articletopic/Culture.Media.Media*|952|classification.ores.articletopic/Culture.Media.Films|989|classification.ores.articletopic/Culture.Biography.Biography*|761","Q2395037","nm0000033","Alfred Hitchcock","not exact match",NA,NA
"Magnus Lygdbäck","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|839|classification.ores.articletopic/Culture.Media.Media*|718|classification.ores.articletopic/Culture.Biography.Biography*|615","Q60822269","nm6854815","Magnus Lygdback","not exact match",NA,NA
"Craig Bierko","classification.ores.articletopic/Culture.Media.Music|637|classification.ores.articletopic/Culture.Biography.Biography*|986|classification.ores.articletopic/Culture.Media.Media*|970|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Geography.Regions.Americas.North_America|970","Q738952","nm81572",NA,NA,"nm0081572",NA
"Jennifer Lopez filmografi","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Geography.Regions.Americas.North_America|644|classification.ores.articletopic/Culture.Media.Films|978|classification.ores.articletopic/Culture.Biography.Biography*|672","Q6178567","nm0000182","Jennifer Lopez","not exact match",NA,NA
"Toni Prince","classification.ores.articletopic/Culture.Biography.Biography*|969|classification.ores.articletopic/Geography.Regions.Europe.Europe*|826|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|712|classification.ores.articletopic/Culture.Biography.Women|577|classification.ores.articletopic/Culture.Media.Media*|546","Q44472427","nm7478945","Toni Prince Tvrtkovic","not exact match",NA,NA
"Gavin Rossdale","classification.ores.articletopic/Culture.Media.Media*|950|classification.ores.articletopic/Culture.Biography.Biography*|833|classification.ores.articletopic/Culture.Media.Music|952","Q432743","nm569962",NA,NA,"nm0569962",NA
"Matthew Gray Gubler","classification.ores.articletopic/Culture.Media.Media*|745|classification.ores.articletopic/Culture.Biography.Biography*|909|recommendation.image_section/exists|1","Q313501","nm1693763",NA,NA,"nm1131557",NA
"Pat Benatar","classification.ores.articletopic/Culture.Media.Media*|933|classification.ores.articletopic/Culture.Biography.Women|661|classification.ores.articletopic/Culture.Biography.Biography*|915|classification.ores.articletopic/Culture.Media.Music|972","Q235252","nm70232",NA,NA,"nm0070232",NA
"Nollywood","classification.ores.articletopic/Culture.Biography.Biography*|373|classification.ores.articletopic/Geography.Regions.Africa.Western Africa|999|classification.ores.articletopic/Geography.Regions.Africa.Africa*|998","Q21065894","nm1650067","Rita Dominic","not exact match",NA,NA
"Michaela Thorsén","classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Geography.Regions.Europe.Europe*|803|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|546|classification.ores.articletopic/Culture.Media.Films|515","Q23915774","nm5464722","Michaela Thorsén","match",NA,NA
"Litterär salong","classification.ores.articletopic/Geography.Regions.Europe.Europe*|855|classification.ores.articletopic/Culture.Biography.Biography*|724|classification.ores.articletopic/Culture.Biography.Women|712|classification.ores.articletopic/Culture.Literature|607","Q576342","nm0825473","Gertrude Stein","not exact match",NA,NA
"Fredrik Rydman","classification.ores.articletopic/Geography.Regions.Europe.Europe*|978|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|732|classification.ores.articletopic/Culture.Media.Television|949|classification.ores.articletopic/Culture.Media.Media*|906|classification.ores.articletopic/Culture.Biography.Biography*|676|classification.ores.articletopic/Culture.Media.Music|467","Q6085658","nm1553107","Fredrik Rydman","match",NA,NA
"Capo 13","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|962|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Geography.Regions.Europe.Europe*|952|classification.ores.articletopic/Culture.Media.Entertainment|531|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Media.Music|945|classification.ores.articletopic/Culture.Internet_culture|637","Q120506971","nm10854556","Karl Håkansson","not exact match",NA,NA
