"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Ιντιάνα Τζόουνς (χαρακτήρας)","classification.ores.articletopic/Culture.Literature|731|classification.ores.articletopic/Culture.Media.Video_games|592|classification.ores.articletopic/Culture.Media.Films|984|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|515|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|592|classification.ores.articletopic/Culture.Media.Media*|990","Q148659","tt1363107","Indiana Jones and the Staff of Kings","not exact match",NA,NA
"Μάρτιν Μπάλσαμ","classification.ores.articletopic/Culture.Media.Films|343|classification.ores.articletopic/Culture.Biography.Biography*|493|classification.ores.articletopic/Geography.Regions.Americas.North America|617|classification.ores.articletopic/Culture.Media.Media*|924","Q312107","tt0074119","All the President's Men","not exact match",NA,NA
"Νεβ Κάμπελ","classification.ores.articletopic/Culture.Media.Films|984|classification.ores.articletopic/Culture.Biography.Biography*|932|classification.ores.articletopic/Culture.Media.Media*|990|classification.ores.articletopic/Culture.Biography.Women|515|classification.ores.articletopic/Geography.Regions.Americas.North_America|793","Q193482","tt0108894","Party of Five","not exact match",NA,NA
"Άννα Φάρις","classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Culture.Biography.Women|737|classification.ores.articletopic/Culture.Media.Films|676|classification.ores.articletopic/Geography.Regions.Americas.North America|709|classification.ores.articletopic/Culture.Media.Media*|938","Q4491","tt0119049","Eden","not exact match",NA,NA
"Ολίβια Γουάιλντ","classification.ores.articletopic/Culture.Media.Films|353|classification.ores.articletopic/Culture.Biography.Biography*|911|classification.ores.articletopic/Culture.Biography.Women|730|classification.ores.articletopic/Culture.Media.Media*|716","Q200355","tt1489887","Booksmart","not exact match",NA,NA
"Μπίλι Μπομπ Θόρντον","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Media.Films|961|classification.ores.articletopic/Culture.Biography.Biography*|863|classification.ores.articletopic/Geography.Regions.Americas.North_America|771","Q202735","tt0611331","Billy Bob Thornton","not exact match",NA,NA
"Σεργκέι Αϊζενστάιν","classification.ores.articletopic/Culture.Media.Films|672|classification.ores.articletopic/Geography.Regions.Asia.Asia*|692|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|724|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|777|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Europe.Europe*|917|classification.ores.articletopic/History_and_Society.Military_and_warfare|629","Q8003","tt0018217","October (Ten Days that Shook the World)","not exact match",NA,NA
"Μάρτιν ΜακΝτόνα","classification.ores.articletopic/Geography.Regions.Europe.Europe*|679|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|672|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Culture.Media.Media*|909|classification.ores.articletopic/Culture.Media.Films|943|classification.ores.articletopic/Culture.Performing_arts|569","Q372394","tt1931533","Seven Psychopaths","not exact match",NA,NA
"Τζορτζ Λέιζενμπι","classification.ores.articletopic/Culture.Media.Television|577|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Culture.Biography.Biography*|887|classification.ores.articletopic/Culture.Media.Films|826","Q205599","tt0116352","Fox Hunt","not exact match",NA,NA
"Χιούη, Λιούη και Ντιούη","classification.ores.articletopic/Culture.Literature|954|classification.ores.articletopic/Culture.Visual arts.Visual arts*|735|classification.ores.articletopic/Culture.Visual arts.Comics and Anime|981|classification.ores.articletopic/Culture.Media.Media*|981|classification.ores.articletopic/Culture.Media.Films|988","Q11965","tt0030070","Donald's Nephews","not exact match",NA,NA
