"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Filmåret 1939","classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Media.Media*|984","Q839754","tt0032138","The Wizard of Oz","not exact match",NA,NA
"Filmåret 1943","classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/Culture.Media.Media*|980","Q247663","tt0036506","Day of Wrath","not exact match",NA,NA
"Filmåret 1942","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Media*|956","Q264731","tt0034583","Casablanca","not exact match",NA,NA
"Filmåret 1930","classification.ores.articletopic/Culture.Media.Films|980|classification.ores.articletopic/Culture.Media.Media*|981|classification.ores.articletopic/History_and_Society.History|839","Q514763","tt0020629","All Quiet on the Western Front","not exact match",NA,NA
"Jonatan Bökman","classification.ores.articletopic/Culture.Biography.Biography*|989|classification.ores.articletopic/Culture.Media.Media*|651|classification.ores.articletopic/Geography.Regions.Europe.Europe*|600|classification.ores.articletopic/Culture.Media.Films|538","Q106394036","tt4241490","Den Fjärde Dimensionen","not exact match",NA,NA
"Det blev ingen CD","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|877|classification.ores.articletopic/Culture.Media.Films|766|classification.ores.articletopic/Geography.Regions.Europe.Europe*|782|classification.ores.articletopic/Culture.Media.Media*|939","Q122155329","tt10662192","Det blev ingen CD - en dokumentär av Jonas Strandberg","not exact match",NA,NA
"Filmåret 1944","classification.ores.articletopic/Culture.Media.Films|991|classification.ores.articletopic/Culture.Media.Media*|948","Q738597","tt0037059","Meet Me in St. Louis","not exact match",NA,NA
"Inte nu, älskling!","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|996|classification.ores.articletopic/Culture.Media.Media*|731|classification.ores.articletopic/Geography.Regions.Europe.Europe*|972|classification.ores.articletopic/Culture.Media.Films|607|recommendation.image/exists|1","Q7062145","tt0070459","Not Now Darling","not exact match",NA,NA
"Filmåret 1975","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|985","Q167006","tt0073195","Jaws","not exact match",NA,NA
"Filmåret 1948","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Media*|954","Q839786","tt0040540","Little Martin Returns","not exact match",NA,NA
