"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"1968","classification.ores.articletopic/Culture.Biography.Biography*|437","Q2644","nm0618466","Vicenta N'Dongo","not exact match",NA,NA
"Gordon Parks","classification.ores.articletopic/Geography.Regions.Americas.North America|842|classification.ores.articletopic/Culture.Biography.Biography*|807|recommendation.image_section/exists|1","Q365682","nm662953",NA,NA,"nm0662953",NA
"Bryan Adams","classification.ores.articletopic/Culture.Media.Music|991|classification.ores.articletopic/Culture.Biography.Biography*|936|classification.ores.articletopic/Geography.Regions.Americas.North_America|615|classification.ores.articletopic/Culture.Media.Media*|992|recommendation.image_section/exists|1","Q482907","nm1898",NA,NA,"nm0001898",NA
"Cliff Curtis","classification.ores.articletopic/Culture.Media.Media*|569|classification.ores.articletopic/Culture.Media.Films|554|classification.ores.articletopic/Culture.Biography.Biography*|975|classification.ores.articletopic/Geography.Regions.Oceania|896","Q359325","nm193295",NA,NA,"nm0193295",NA
"Nick Carter","classification.ores.articletopic/Culture.Media.Media*|945|classification.ores.articletopic/Geography.Regions.Americas.North_America|607|classification.ores.articletopic/Culture.Media.Music|939|classification.ores.articletopic/Culture.Biography.Biography*|956|recommendation.image_section/exists|1","Q214466","nm141853",NA,NA,"nm0141853",NA
"Crepúsculo (serie)","classification.ores.articletopic/Culture.Biography.Biography*|901|classification.ores.articletopic/Culture.Media.Media*|884|classification.ores.articletopic/Culture.Biography.Women|629|classification.ores.articletopic/Culture.Literature|912|classification.ores.articletopic/Culture.Media.Books|760|recommendation.image_section/exists|1","Q44523","nm2769412","Stephenie Meyer","not exact match",NA,NA
"Eva Soriano","classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Culture.Media.Media*|737","Q61424063","nm4200391","Eva Soriano","match",NA,NA
"Melissa Gilbert","classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Culture.Media.Television|665|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Media.Films|737|classification.ores.articletopic/Culture.Biography.Women|822","Q230929","nm001271",NA,NA,"nm0001271",NA
"Bob Odenkirk","classification.ores.articletopic/Culture.Biography.Biography*|967|classification.ores.articletopic/Culture.Media.Entertainment|685|classification.ores.articletopic/Geography.Regions.Americas.North_America|699|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Culture.Media.Media*|948","Q888178","nm644022",NA,NA,"nm0644022",NA
"Filmografía de Robert De Niro","classification.ores.articletopic/Culture.Media.Media*|812|classification.ores.articletopic/Culture.Media.Films|275|classification.ores.articletopic/Culture.Biography.Biography*|527","Q2635302","nm0000134","Robert De Niro","not exact match",NA,NA
"Juan Dávila (actor)","classification.ores.articletopic/Culture.Biography.Biography*|945|classification.ores.articletopic/Culture.Media.Media*|637","Q117846405","nm5023954","Juan Dávila","not exact match",NA,NA
"Dani Fernández (cantante)","classification.ores.articletopic/Culture.Biography.Biography*|939|classification.ores.articletopic/Geography.Regions.Europe.Europe*|953|classification.ores.articletopic/Culture.Media.Music|948|classification.ores.articletopic/Culture.Media.Media*|991|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|956|classification.ores.articletopic/Culture.Media.Television|855|recommendation.image/exists|1","Q20898905","nm4832592","Auryn","not exact match","nm2487400",NA
"Michael Jai White","classification.ores.articletopic/Culture.Sports|546|classification.ores.articletopic/Geography.Regions.Americas.North_America|615|classification.ores.articletopic/Culture.Biography.Biography*|981","Q248915","nm0925227",NA,NA,"nm0925220",NA
"Thaddea Graham","classification.ores.articletopic/Culture.Media.Television|660|classification.ores.articletopic/Culture.Biography.Women|733|classification.ores.articletopic/Culture.Biography.Biography*|882","Q87944738","nm6347835",NA,NA,"nm6248154",NA
"Ricardo III de Inglaterra","classification.ores.articletopic/Culture.Biography.Biography*|949|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|600|classification.ores.articletopic/History_and_Society.History|737|classification.ores.articletopic/Geography.Regions.Europe.Europe*|577","Q133028","nm2902567","Aneurin Barnard","not exact match",NA,NA
"Lola Dewaere","classification.ores.articletopic/History and Society.History|393|classification.ores.articletopic/Geography.Regions.Europe.Europe*|816|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|931|classification.ores.articletopic/Culture.Biography.Women|914|classification.ores.articletopic/Culture.Biography.Biography*|992","Q3258760","nm1030044","Angèle Herry-Leclerc","not exact match","nm1463127",NA
"Filmografía de Arnold Schwarzenegger","classification.ores.articletopic/Culture.Media.Media*|966|classification.ores.articletopic/Culture.Media.Films|952|classification.ores.articletopic/Culture.Biography.Biography*|457","Q777740","nm0000216","Arnold Schwarzenegger","not exact match",NA,NA
"Nikocado Avocado","classification.ores.articletopic/Culture.Biography.Biography*|912","Q105593316","nm12233807","Nicholas Perry","not exact match",NA,NA
"Alberto Olmedo","classification.ores.articletopic/Culture.Biography.Biography*|917|classification.ores.articletopic/Geography.Regions.Americas.South_America|692|classification.oneoff.T301028/argentina","Q4712152","nm0060627","Jorge Basurto","not exact match","nm0647412",NA
"Manelyk González","classification.ores.articletopic/Geography.Regions.Americas.North_America|515|classification.ores.articletopic/Culture.Media.Media*|968|classification.ores.articletopic/Culture.Biography.Biography*|980","Q122451356","nm8915404","Manelyk González","match",NA,NA
"Filmografía de Harrison Ford","classification.ores.articletopic/Culture.Media.Media*|978|classification.ores.articletopic/Culture.Biography.Biography*|273|classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Media.Entertainment|753","Q6351442","nm0000148","Harrison Ford","not exact match",NA,NA
"Alberto Guerra (actor)","classification.ores.articletopic/Culture.Media.Media*|890|classification.ores.articletopic/Culture.Media.Films|932|classification.ores.articletopic/Culture.Biography.Biography*|992","Q4712055","nm12145776",NA,NA,"nm1226341",NA
"Joan Jett","classification.ores.articletopic/Culture.Media.Media*|956|classification.ores.articletopic/Culture.Media.Music|917|classification.ores.articletopic/Geography.Regions.Americas.North_America|507|classification.ores.articletopic/Culture.Biography.Women|615|classification.ores.articletopic/Culture.Biography.Biography*|867","Q231106","nm5053",NA,NA,"nm0005053",NA
"Billy Crudup","classification.ores.articletopic/Culture.Media.Media*|538|classification.ores.articletopic/Geography.Regions.Americas.North_America|658|classification.ores.articletopic/Culture.Biography.Biography*|962|classification.ores.articletopic/Culture.Media.Films|607","Q313650","nm1082",NA,NA,"nm0001082",NA
"Beto Alonso","classification.ores.articletopic/Culture.Sports|996|classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Geography.Regions.Americas.South_America|500|classification.oneoff.T301028/argentina","Q94949","nm10975160","Hani Hatip","not exact match",NA,NA
"Música de Guatemala","classification.ores.articletopic/Geography.Regions.Americas.Central_America|847|classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Music|997|classification.ores.articletopic/Culture.Biography.Biography*|554|recommendation.image_section/exists|1","Q1298412","nm10753409","Mauricio Trabanino","not exact match",NA,NA
"Yare Santana","classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Culture.Biography.Biography*|957","Q113510246","nm8697976","Yare Santana","match",NA,NA
"Filmografía de Brad Pitt","classification.ores.articletopic/Culture.Media.Films|786|classification.ores.articletopic/Culture.Biography.Biography*|446|classification.ores.articletopic/Culture.Media.Media*|938","Q4954197","nm0000093","Brad Pitt","not exact match",NA,NA
"Filmografía de Thalía","classification.ores.articletopic/Culture.Media.Television|570|classification.ores.articletopic/Culture.Media.Media*|695|classification.ores.articletopic/Culture.Biography.Biography*|597","Q14606258","nm0856977","Thalía","not exact match",NA,NA
"Nick Cannon","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Biography.Biography*|936|classification.ores.articletopic/Culture.Media.Music|859","Q348533","nm134244",NA,NA,"nm0134244",NA
"Justin Chambers","classification.ores.articletopic/Geography.Regions.Americas.North_America|749|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Media.Media*|760|classification.ores.articletopic/Culture.Media.Films|629|classification.ores.articletopic/Culture.Biography.Women|665","Q40087","nm150362",NA,NA,"nm0150362",NA
"Entrevista con el vampiro","classification.ores.articletopic/Culture.Literature|921|classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Culture.Biography.Women|787|classification.ores.articletopic/Culture.Media.Media*|904|classification.ores.articletopic/Culture.Media.Books|961","Q176470","nm0723351","Anne Rice","not exact match",NA,NA
"Oliver Platt","classification.ores.articletopic/Culture.Media.Films|970|classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Geography.Regions.Americas.North_America|737|classification.ores.articletopic/Culture.Biography.Biography*|989","Q343510","nm1624",NA,NA,"nm0001624",NA
"Emily Willis","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Biography.Biography*|986|classification.ores.articletopic/Culture.Media.Films|998|classification.oneoff.T301028/argentina","Q56057107","nm9706638",NA,NA,"nm6191647",NA
"Josh Peck","classification.ores.articletopic/Culture.Biography.Biography*|932|classification.ores.articletopic/Geography.Regions.Americas.North_America|600|classification.ores.articletopic/Culture.Media.Media*|890|classification.ores.articletopic/Culture.Media.Films|592|recommendation.image_section/exists|1","Q311779","nm669681",NA,NA,"nm0669681",NA
"Sebastián Caicedo","classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Geography.Regions.Americas.South_America|970|classification.ores.articletopic/Culture.Media.Media*|607","Q5952512","nm1352218","Carmen Villalobos","not exact match","nm1687210",NA
"Silvana Rossi","classification.ores.articletopic/Culture.Media.Media*|808|classification.ores.articletopic/Culture.Biography.Biography*|994|classification.ores.articletopic/Culture.Biography.Women|577|classification.oneoff.T301028/chile","Q55188214","nm1439185","Silvana Rossi","match",NA,NA
